"Factor: Generalization / Suppression" "Suppression Limit 0.05 (Runtime)" "Suppression Limit 0.1 (Runtime)" "Suppression Limit 0.2 (Runtime)" "Suppression Limit 1.0 (Runtime)"
0.0 1630.6 1593.4 1418.4 99.2
0.01 1556.4 1488.2 1428.0 223.4
0.02 1541.8 1639.8 1602.0 408.6
0.03 1536.0 1632.4 1592.6 627.2
0.04 1544.8 1662.8 1542.0 899.8
0.05 1544.6 1670.2 1564.4 1329.2
0.060000000000000005 1539.0 1457.8 1692.4 2851.6
0.07 1549.6 1476.4 1706.6 2304.2
0.08 1580.2 1497.8 1685.4 3696.2
0.09 1580.6 1551.6 1781.4 4470.8
0.09999999999999999 1515.2 1568.8 1860.4 5172.0
0.10999999999999999 1649.0 1591.4 1807.8 5106.6
0.11999999999999998 1581.6 1660.6 1832.0 5597.8
0.12999999999999998 1570.0 1669.8 1852.8 6120.6
0.13999999999999999 1572.4 1669.2 1933.2 6619.2
0.15 1571.6 1681.0 1995.8 7020.2
0.16 1568.8 1680.4 2134.4 7354.0
0.17 1565.8 1690.8 2205.0 6530.0
0.18000000000000002 1546.2 1705.4 2223.4 6773.4
0.19000000000000003 1537.4 1711.0 2222.4 6971.0
0.20000000000000004 1544.2 1806.0 2284.8 7190.8
0.21000000000000005 1543.0 1781.6 2362.8 7435.4
0.22000000000000006 1554.2 1845.8 2420.0 7941.2
0.23000000000000007 1559.0 1879.0 2461.2 8067.6
0.24000000000000007 1542.8 1838.2 2545.0 8327.8
0.25000000000000006 1575.8 1902.8 2413.8 7563.4
0.26000000000000006 1551.0 1836.0 2492.2 7683.4
0.2700000000000001 1564.4 1771.6 2515.4 7828.4
0.2800000000000001 1572.4 1775.8 2555.0 8028.4
0.2900000000000001 1575.0 1856.4 2733.6 8138.2
0.3000000000000001 1592.0 1863.4 2774.4 8324.6
0.3100000000000001 1585.4 1903.0 2920.4 8498.4
0.3200000000000001 1592.0 1909.6 2890.2 8598.0
0.3300000000000001 1556.6 1907.0 2978.4 8636.8
0.34000000000000014 1552.0 1933.2 2992.6 8743.6
0.35000000000000014 1545.8 1920.2 3123.2 8934.0
0.36000000000000015 1551.6 1960.6 3174.6 8943.6
0.37000000000000016 1571.0 1984.0 3251.2 8539.2
0.38000000000000017 1614.0 2042.6 3291.6 8661.4
0.3900000000000002 1641.4 2049.0 3327.0 8934.8
0.4000000000000002 1609.8 2046.8 3319.2 8456.6
0.4100000000000002 1617.0 2054.2 3364.8 8469.6
0.4200000000000002 1635.4 2177.0 3149.8 7664.6
0.4300000000000002 1695.6 2181.6 3149.0 7710.0
0.4400000000000002 1631.0 2208.8 3200.4 7809.8
0.45000000000000023 1637.2 2203.0 3211.2 7829.0
0.46000000000000024 1638.4 2159.2 3232.6 7824.4
0.47000000000000025 1586.4 2182.6 3253.6 7827.4
0.48000000000000026 1591.2 2205.2 3236.0 7819.0
0.49000000000000027 1581.0 2249.4 3304.6 7927.2
0.5000000000000002 1583.4 2236.8 3310.8 7820.0
0.5100000000000002 1577.6 2242.4 3366.6 7885.4
0.5200000000000002 1604.0 2295.8 3408.0 8038.8
0.5300000000000002 1655.4 2275.0 3445.0 7995.8
0.5400000000000003 1701.2 2337.6 3461.0 8003.0
0.5500000000000003 1712.4 2380.8 3579.8 8124.0
0.5600000000000003 1719.6 2430.0 3577.0 8112.6
0.5700000000000003 1707.0 2408.8 3685.4 8253.0
0.5800000000000003 1686.0 2474.2 3749.6 8270.8
0.5900000000000003 1764.0 2452.0 3817.6 8415.0
0.6000000000000003 1748.2 2521.0 3875.2 8493.8
0.6100000000000003 1743.0 2536.2 3945.6 8532.0
0.6200000000000003 1782.0 2579.6 3988.8 8612.0
0.6300000000000003 1816.6 2598.2 3982.2 8648.8
0.6400000000000003 1771.0 2657.8 4035.0 8735.8
0.6500000000000004 1830.0 2686.0 4087.4 8827.8
0.6600000000000004 1818.2 2706.0 4239.8 8915.4
0.6700000000000004 1830.4 2714.0 4257.0 9033.0
0.6800000000000004 1851.4 2720.2 4316.4 8940.0
0.6900000000000004 1842.0 2768.0 4379.6 8994.2
0.7000000000000004 1820.8 2656.6 4353.0 8596.8
0.7100000000000004 1881.2 2761.8 4320.8 8526.4
0.7200000000000004 1886.0 2791.6 4429.4 8616.4
0.7300000000000004 1906.4 2813.2 4393.2 8437.6
0.7400000000000004 1937.8 2876.2 4534.2 8462.2
0.7500000000000004 1972.2 2874.2 4528.4 8481.0
0.7600000000000005 1940.2 2897.6 4576.6 8516.4
0.7700000000000005 2019.8 2947.2 4641.2 8628.6
0.7800000000000005 1994.6 3000.2 4727.8 8682.2
0.7900000000000005 2026.8 2976.0 4744.6 8715.8
0.8000000000000005 2020.6 3070.8 4870.0 8846.6
0.8100000000000005 2008.4 3088.6 4819.4 8409.2
0.8200000000000005 2084.8 3163.4 4828.8 8440.6
0.8300000000000005 2112.0 3153.8 4857.6 8505.2
0.8400000000000005 2101.8 3190.4 4903.4 8559.8
0.8500000000000005 2071.4 3244.6 4951.6 8488.8
0.8600000000000005 2088.4 3228.0 5011.8 8545.0
0.8700000000000006 2136.6 3245.8 5048.6 8674.0
0.8800000000000006 2113.2 3346.2 5120.8 8595.2
0.8900000000000006 2130.8 3410.8 5170.4 8630.8
0.9000000000000006 2152.2 3374.4 5200.6 8381.8
0.9100000000000006 2159.6 3389.6 5216.8 8425.4
0.9200000000000006 2213.0 3443.0 5236.6 8446.0
0.9300000000000006 2196.4 3501.4 5308.8 8472.2
0.9400000000000006 2210.2 3533.0 5370.0 8357.0
0.9500000000000006 2250.4 3533.0 5298.0 8233.8
0.9600000000000006 2236.2 3529.4 5289.8 8280.0
0.9700000000000006 2236.2 3542.4 5330.8 8272.2
0.9800000000000006 2222.6 3569.0 5323.8 8117.4
0.9900000000000007 2231.4 3601.0 5334.6 8113.2
