"Factor: Generalization / Suppression" "Suppression Limit 0.05 (Runtime)" "Suppression Limit 0.1 (Runtime)" "Suppression Limit 0.2 (Runtime)" "Suppression Limit 1.0 (Runtime)"
0.0 9355.2 9555.2 10526.4 551.2
0.01 9491.0 9525.6 10618.6 2826.2
0.02 9476.2 9589.0 10457.4 8244.2
0.03 9370.8 9634.2 10576.2 18415.2
0.04 9307.2 9332.8 10586.8 31836.4
0.05 9375.6 9400.0 9890.2 23792.4
0.060000000000000005 9353.0 9348.0 9763.4 29814.0
0.07 9411.4 9657.6 9756.2 30008.2
0.08 9429.0 9612.2 9545.6 34524.8
0.09 9487.8 9654.0 9419.6 37967.0
0.09999999999999999 9381.4 9882.6 9363.8 43655.0
0.10999999999999999 9505.6 9608.0 9523.8 46285.8
0.11999999999999998 9380.6 9655.6 8965.8 45784.6
0.12999999999999998 9411.0 9574.0 8739.2 47944.4
0.13999999999999999 9367.0 9659.8 8839.2 51048.8
0.15 9462.6 9735.2 8855.6 51872.8
0.16 9517.0 9812.8 8916.8 54041.8
0.17 9385.0 9718.8 8996.8 55029.2
0.18000000000000002 9551.4 9718.6 8987.0 58081.0
0.19000000000000003 9411.6 9810.4 9330.4 58825.8
0.20000000000000004 9414.6 9622.0 9289.4 55110.8
0.21000000000000005 9390.8 9666.4 9302.4 57767.6
0.22000000000000006 9444.2 9208.0 9094.6 55108.0
0.23000000000000007 9432.2 9270.6 9273.6 55608.6
0.24000000000000007 9464.4 9353.2 9174.4 56789.6
0.25000000000000006 9373.6 9247.6 9271.6 55698.8
0.26000000000000006 9431.4 9719.0 9166.4 55740.8
0.2700000000000001 9457.2 9289.0 9211.8 56628.0
0.2800000000000001 9510.6 9442.0 9293.2 57850.8
0.2900000000000001 9624.8 9262.2 9364.0 58379.2
0.3000000000000001 9565.8 9367.4 9480.4 59401.6
0.3100000000000001 9683.2 9329.6 9488.6 59316.0
0.3200000000000001 9461.2 9374.0 9680.0 59475.6
0.3300000000000001 9512.2 9731.2 9716.2 61087.2
0.34000000000000014 9569.8 9634.2 9756.2 61198.0
0.35000000000000014 9501.0 9762.2 9894.6 62980.6
0.36000000000000015 9618.2 9767.2 10045.8 61611.4
0.37000000000000016 9858.2 9756.4 10860.6 64178.0
0.38000000000000017 9738.6 9624.0 10906.8 63586.6
0.3900000000000002 9886.4 9731.6 11145.8 64694.6
0.4000000000000002 9838.4 9694.0 10892.4 66896.8
0.4100000000000002 9918.2 10029.2 10976.6 65776.6
0.4200000000000002 9410.0 10539.4 11070.2 65903.0
0.4300000000000002 9965.0 10053.6 10998.6 67259.2
0.4400000000000002 9993.6 9914.2 10900.0 67963.0
0.45000000000000023 9955.2 9805.8 11283.2 69744.8
0.46000000000000024 9556.2 9825.8 11329.6 69586.8
0.47000000000000025 9574.4 9811.2 11529.2 69530.0
0.48000000000000026 9661.4 10050.6 11482.6 69885.2
0.49000000000000027 9653.4 10023.0 11710.4 70478.0
0.5000000000000002 9392.2 10048.8 11684.6 71375.4
0.5100000000000002 9354.0 10016.6 11634.0 70666.8
0.5200000000000002 9249.0 10255.4 11658.2 71364.0
0.5300000000000002 9294.0 10123.8 11654.0 71232.6
0.5400000000000003 9273.0 10070.4 11582.2 73748.6
0.5500000000000003 9214.4 10135.6 11676.2 72840.2
0.5600000000000003 9591.4 11123.2 11699.8 74592.4
0.5700000000000003 9778.2 10300.8 11636.6 76324.8
0.5800000000000003 9608.8 10363.2 11842.8 74820.4
0.5900000000000003 10019.2 10106.8 11490.8 76140.0
0.6000000000000003 9967.6 10112.4 11665.6 77286.2
0.6100000000000003 9847.2 10245.4 11753.2 77181.2
0.6200000000000003 9976.6 10314.2 11575.2 79789.6
0.6300000000000003 9940.4 10311.6 11561.6 78936.2
0.6400000000000003 9945.0 10287.8 11535.2 80725.8
0.6500000000000004 10016.4 10248.8 11747.4 81804.6
0.6600000000000004 10553.0 9908.6 12252.2 83219.4
0.6700000000000004 10366.6 10007.6 12180.8 83785.2
0.6800000000000004 10479.6 10233.8 12253.0 85648.4
0.6900000000000004 10471.2 10149.8 12157.0 86895.4
0.7000000000000004 10561.0 10073.0 12141.2 87911.6
0.7100000000000004 10621.2 10367.2 12128.6 89946.4
0.7200000000000004 10302.0 10336.2 12637.0 92856.0
0.7300000000000004 10051.4 10168.8 12528.8 95276.6
0.7400000000000004 10217.0 10417.4 12718.0 99008.4
0.7500000000000004 10388.0 10859.0 12850.0 99294.0
0.7600000000000005 10084.6 11011.2 13329.8 98965.6
0.7700000000000005 10216.0 10950.8 13402.2 104110.6
0.7800000000000005 10323.8 10788.8 13394.2 105748.2
0.7900000000000005 9902.6 11357.2 13281.8 104037.2
0.8000000000000005 9926.4 11131.6 12909.2 105111.2
0.8100000000000005 10004.6 11234.6 13220.4 105769.0
0.8200000000000005 10064.6 11279.2 13238.6 107653.8
0.8300000000000005 9985.6 11020.8 13841.8 114501.4
0.8400000000000005 10350.8 11064.2 14354.2 113216.8
0.8500000000000005 10305.8 11505.2 13970.8 119797.8
0.8600000000000005 10676.8 11291.0 14249.6 117162.0
0.8700000000000006 10336.2 11132.8 14644.2 120692.0
0.8800000000000006 10696.6 11155.2 14351.2 124344.6
0.8900000000000006 10637.2 11128.4 14768.4 127832.8
0.9000000000000006 10583.2 11526.0 15788.2 132115.8
0.9100000000000006 10846.4 11967.0 15140.4 134774.0
0.9200000000000006 10527.8 12197.8 16040.2 142982.8
0.9300000000000006 11141.4 12405.0 16596.2 152731.8
0.9400000000000006 10877.6 12268.4 16947.4 165020.4
0.9500000000000006 10750.6 12447.0 17913.4 174069.0
0.9600000000000006 10653.0 13117.6 18854.8 184157.6
0.9700000000000006 10530.8 12864.4 18655.4 192083.2
0.9800000000000006 10107.4 12532.2 18822.6 202427.6
0.9900000000000007 8483.8 11588.0 18642.2 215511.4
