"Factor: Generalization / Suppression" "Suppression Limit 0.05 (Runtime)" "Suppression Limit 0.1 (Runtime)" "Suppression Limit 0.2 (Runtime)" "Suppression Limit 1.0 (Runtime)"
0.0 1416.4 1310.4 712.2 46.2
0.01 1409.4 1192.0 715.4 115.0
0.02 1411.0 1372.8 923.4 173.6
0.03 1402.4 1362.2 897.2 304.0
0.04 1411.0 1370.2 847.8 380.8
0.05 1408.8 1386.8 834.8 524.4
0.060000000000000005 1407.8 1188.8 964.2 674.6
0.07 1408.0 1191.0 962.6 836.2
0.08 1444.0 1190.6 939.8 935.4
0.09 1455.0 1262.4 1038.8 1215.2
0.09999999999999999 1388.2 1287.8 1086.4 1320.0
0.10999999999999999 1482.6 1313.2 1102.6 1434.0
0.11999999999999998 1435.8 1377.0 1131.2 1576.0
0.12999999999999998 1439.0 1390.0 1140.2 1784.6
0.13999999999999999 1436.6 1403.4 1201.0 2030.8
0.15 1434.0 1402.0 1256.8 2186.4
0.16 1444.8 1428.4 1369.2 2342.0
0.17 1405.4 1523.4 1439.6 2526.8
0.18000000000000002 1410.8 1426.6 1467.4 2669.2
0.19000000000000003 1403.4 1427.0 1472.8 2731.4
0.20000000000000004 1414.4 1510.8 1539.0 2888.2
0.21000000000000005 1409.8 1504.6 1600.8 3019.2
0.22000000000000006 1425.2 1578.2 1647.2 3161.6
0.23000000000000007 1415.8 1585.6 1677.0 3242.0
0.24000000000000007 1422.4 1571.4 1751.0 3455.4
0.25000000000000006 1451.8 1626.6 1757.6 3459.0
0.26000000000000006 1429.0 1557.6 1830.4 3600.8
0.2700000000000001 1428.2 1504.8 1841.0 3726.6
0.2800000000000001 1510.0 1518.6 1916.0 3879.0
0.2900000000000001 1434.4 1565.4 2106.6 3973.8
0.3000000000000001 1448.4 1581.2 2094.2 4041.2
0.3100000000000001 1457.8 1633.6 2215.6 4126.6
0.3200000000000001 1451.6 1627.2 2210.2 4223.0
0.3300000000000001 1423.8 1630.2 2259.2 4284.0
0.34000000000000014 1419.2 1650.2 2282.0 4323.0
0.35000000000000014 1406.6 1644.4 2408.6 4482.0
0.36000000000000015 1408.4 1677.2 2452.0 4535.2
0.37000000000000016 1430.6 1714.2 2572.0 4671.8
0.38000000000000017 1464.2 1783.4 2600.8 4724.2
0.3900000000000002 1475.2 1791.8 2652.0 4883.2
0.4000000000000002 1460.8 1767.6 2751.6 5013.4
0.4100000000000002 1453.6 1782.2 2791.0 5014.4
0.4200000000000002 1497.2 1889.6 2781.6 5109.4
0.4300000000000002 1500.8 1910.8 2782.2 5138.4
0.4400000000000002 1485.0 1929.4 2863.4 5216.8
0.45000000000000023 1485.2 1942.2 2891.8 5265.6
0.46000000000000024 1477.6 1904.6 2900.6 5338.2
0.47000000000000025 1437.4 1911.4 2912.2 5346.0
0.48000000000000026 1437.2 1929.6 2932.0 5332.0
0.49000000000000027 1438.6 1955.4 2956.8 5403.2
0.5000000000000002 1436.8 1957.0 2961.8 5387.4
0.5100000000000002 1442.4 1956.8 3044.4 5449.2
0.5200000000000002 1480.4 2008.0 3096.8 5513.8
0.5300000000000002 1535.0 2005.8 3189.0 5560.8
0.5400000000000003 1546.0 2070.0 3105.2 5595.4
0.5500000000000003 1571.6 2120.2 3157.0 5676.8
0.5600000000000003 1566.4 2130.0 3214.8 5722.6
0.5700000000000003 1534.4 2137.6 3327.8 5879.0
0.5800000000000003 1544.8 2191.8 3396.8 5838.2
0.5900000000000003 1616.6 2200.2 3448.8 5910.6
0.6000000000000003 1617.6 2260.6 3470.2 5990.6
0.6100000000000003 1603.0 2262.8 3528.8 6019.6
0.6200000000000003 1647.6 2301.6 3605.0 6095.2
0.6300000000000003 1661.8 2325.8 3645.6 6180.8
0.6400000000000003 1636.0 2371.6 3682.2 6343.2
0.6500000000000004 1691.2 2396.0 3736.6 6361.6
0.6600000000000004 1692.4 2404.0 3852.4 6440.6
0.6700000000000004 1696.4 2413.6 3849.0 6486.6
0.6800000000000004 1700.4 2488.4 3937.8 6585.4
0.6900000000000004 1698.8 2486.0 4042.6 6623.8
0.7000000000000004 1683.4 2465.6 4096.4 6725.2
0.7100000000000004 1744.4 2574.8 4153.8 6833.0
0.7200000000000004 1744.8 2686.6 4172.8 6933.6
0.7300000000000004 1751.0 2637.2 4191.0 6994.2
0.7400000000000004 1791.6 2693.8 4279.6 6986.6
0.7500000000000004 1850.8 2699.6 4325.4 7040.0
0.7600000000000005 1791.4 2775.6 4375.0 7155.8
0.7700000000000005 1865.0 2810.8 4456.6 7166.2
0.7800000000000005 1852.4 2822.2 4560.8 7286.4
0.7900000000000005 1868.4 2872.2 4550.6 7297.6
0.8000000000000005 1861.8 2884.2 4727.6 7332.2
0.8100000000000005 1889.6 3011.2 4695.4 7377.4
0.8200000000000005 1967.0 3038.2 4704.2 7421.4
0.8300000000000005 1975.4 3042.8 4766.6 7462.2
0.8400000000000005 1980.4 3093.6 4809.8 7533.8
0.8500000000000005 1956.2 3134.8 4846.2 7685.6
0.8600000000000005 1982.6 3259.4 4910.8 7612.4
0.8700000000000006 2040.2 3185.0 4987.0 7660.6
0.8800000000000006 2018.6 3242.6 4979.6 7788.0
0.8900000000000006 2028.4 3296.6 5146.0 7812.8
0.9000000000000006 2090.8 3320.2 5185.2 7812.0
0.9100000000000006 2091.6 3362.6 5172.6 7968.6
0.9200000000000006 2190.8 3387.8 5212.4 7881.4
0.9300000000000006 2144.4 3492.0 5220.6 7896.6
0.9400000000000006 2155.4 3505.8 5263.2 7938.2
0.9500000000000006 2180.2 3499.4 5300.4 7924.4
0.9600000000000006 2197.8 3525.4 5282.4 7953.8
0.9700000000000006 2200.8 3543.8 5293.0 7959.2
0.9800000000000006 2182.6 3553.4 5348.4 7967.4
0.9900000000000007 2204.4 3561.2 5324.2 8015.0
