;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;63441;8;0.0694123793;58105.0;2.0;3.15254E-5;2.175416E-4;2.171361E-4;83.0
Cup;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;63441;8;0.0681230644;240980.0;1.0;1.57627E-5;2.204551E-4;2.202524E-4;273.0
Fars;Loss;5-anonymity;RGR;0.0;0.0;0.05;5;100937;8;0.6634710672;161.0;0.0;0.0;1.6498E-6;1.6498E-6;2.0
Fars;Loss;5-anonymity;RGR;0.001;0.0;0.05;5;100937;8;0.3486806414;2965.0;0.0;0.0;9.2497E-6;9.2497E-6;4.0
Fars;Loss;5-anonymity;RGR;0.01;0.0;0.05;5;100937;8;0.218777957;4487.0;9.0;8.91645E-5;2.37302E-5;2.15087E-5;3.0
Fars;Loss;5-anonymity;RGR;0.025;0.0;0.05;5;100937;8;0.166927243;4559.0;0.0;0.0;6.33244E-5;6.33244E-5;5.0
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;100937;8;0.1235613487;3955.0;10.0;9.90717E-5;6.52867E-5;6.25167E-5;7.0
Fars;Loss;5-anonymity;RGR;0.075;0.0;0.05;5;100937;8;0.1077181769;3728.0;1.0;9.9072E-6;9.94913E-5;9.92149E-5;8.0
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;100937;8;0.0994296895;3883.0;0.0;0.0;2.368023E-4;2.368023E-4;8.0
Fars;Loss;5-anonymity;RGR;0.125;0.0;0.05;5;100937;8;0.0995255765;4301.0;0.0;0.0;3.522821E-4;3.522821E-4;7.0
Fars;Loss;5-anonymity;RGR;0.15;0.0;0.05;5;100937;8;0.0874673114;3956.0;2.0;1.98143E-5;1.730767E-4;1.724714E-4;8.0
Fars;Loss;5-anonymity;RGR;0.175;0.0;0.05;5;100937;8;0.0864405074;3674.0;0.0;0.0;3.573333E-4;3.573333E-4;8.0
Fars;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;100937;8;0.0850966717;3996.0;1.0;9.9072E-6;1.978361E-4;1.975341E-4;10.0
Fars;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;100937;8;0.0724560676;4266.0;4.0;3.96287E-5;2.493824E-4;2.481921E-4;14.0
Fars;Loss;5-anonymity;RGR;0.4;0.0;0.05;5;100937;8;0.063779003;4542.0;0.0;0.0;1.92078E-4;1.92078E-4;16.0
Fars;Loss;5-anonymity;RGR;0.5;0.0;0.05;5;100937;8;0.0465516072;3911.0;5.0;4.95358E-5;2.59383E-4;2.578614E-4;18.0
Fars;Loss;5-anonymity;RGR;0.6;0.0;0.05;5;100937;8;0.0453047537;5034.0;2.0;1.98143E-5;2.72722E-4;2.72112E-4;23.0
Fars;Loss;5-anonymity;RGR;0.7;0.0;0.05;5;100937;8;0.0430051615;5622.0;0.0;0.0;2.614609E-4;2.614609E-4;28.0
Fars;Loss;5-anonymity;RGR;0.8;0.0;0.05;5;100937;8;0.0407699925;9145.0;2.0;1.98143E-5;2.672204E-4;2.666083E-4;45.0
Fars;Loss;5-anonymity;RGR;0.9;0.0;0.05;5;100937;8;0.0385360278;14841.0;0.0;0.0;2.474695E-4;2.474695E-4;73.0
Fars;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;100937;8;0.037539333;23203.0;4.0;3.96287E-5;2.371843E-4;2.359522E-4;111.0
Fars;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;100937;8;0.0365312806;130395.0;0.0;0.0;2.755935E-4;2.755935E-4;522.0
Atus;Loss;5-anonymity;RGR;0.0;0.0;0.05;5;539253;9;0.3891863162;928.0;0.0;0.0;0.0;0.0;1.0
Atus;Loss;5-anonymity;RGR;0.001;0.0;0.05;5;539253;9;0.2999758432;16380.0;0.0;0.0;1.38919E-5;1.38919E-5;3.0
Atus;Loss;5-anonymity;RGR;0.01;0.0;0.05;5;539253;9;0.1700194307;20324.0;0.0;0.0;8.73832E-5;8.73832E-5;3.0
Atus;Loss;5-anonymity;RGR;0.025;0.0;0.05;5;539253;9;0.0969270741;14776.0;0.0;0.0;6.124029E-4;6.124029E-4;7.0
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;539253;9;0.0581505981;13004.0;0.0;0.0;0.0012178962;0.0012178962;10.0
Atus;Loss;5-anonymity;RGR;0.075;0.0;0.05;5;539253;9;0.0473247404;13481.0;0.0;0.0;0.0016444732;0.0016444732;10.0
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;539253;9;0.0367084821;14681.0;0.0;0.0;0.002024534;0.002024534;13.0
Atus;Loss;5-anonymity;RGR;0.125;0.0;0.05;5;539253;9;0.0281117092;12414.0;0.0;0.0;0.0018893689;0.0018893689;14.0
Atus;Loss;5-anonymity;RGR;0.15;0.0;0.05;5;539253;9;0.0263738855;12751.0;2.0;3.7088E-6;0.0020993807;0.0020991606;19.0
Atus;Loss;5-anonymity;RGR;0.175;0.0;0.05;5;539253;9;0.0247415512;12503.0;0.0;0.0;0.0018496646;0.0018496646;18.0
Atus;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;539253;9;0.0239811833;11964.0;2.0;3.7088E-6;0.0014972007;0.00149697;21.0
Atus;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;539253;9;0.0209701706;14462.0;3.0;5.5633E-6;0.0015096741;0.0015093294;28.0
Atus;Loss;5-anonymity;RGR;0.4;0.0;0.05;5;539253;9;0.0179691558;14434.0;6.0;1.11265E-5;0.0018163717;0.0018156804;31.0
Atus;Loss;5-anonymity;RGR;0.5;0.0;0.05;5;539253;9;0.016301512;15383.0;0.0;0.0;0.0015164095;0.0015164095;41.0
Atus;Loss;5-anonymity;RGR;0.6;0.0;0.05;5;539253;9;0.0161152086;16711.0;0.0;0.0;0.0013945291;0.0013945291;51.0
Atus;Loss;5-anonymity;RGR;0.7;0.0;0.05;5;539253;9;0.0151124598;20224.0;2.0;3.7088E-6;0.0013583703;0.0013581353;71.0
Atus;Loss;5-anonymity;RGR;0.8;0.0;0.05;5;539253;9;0.0138286415;28662.0;2.0;3.7088E-6;0.0013792256;0.001378991;100.0
Atus;Loss;5-anonymity;RGR;0.9;0.0;0.05;5;539253;9;0.0128036214;49039.0;2.0;3.7088E-6;0.0013500265;0.0013497914;186.0
Atus;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;539253;9;0.0123430025;81373.0;3.0;5.5633E-6;0.001315849;0.0013154958;308.0
Atus;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;539253;9;0.0113917174;1029983.0;5.0;9.2721E-6;0.0013352881;0.0013347002;1470.0
Ihis;Loss;5-anonymity;RGR;0.0;0.0;0.05;5;1193504;9;0.3661532736;4039.0;0.0;0.0;0.0;0.0;1.0
Ihis;Loss;5-anonymity;RGR;0.001;0.0;0.05;5;1193504;9;0.2472284215;62395.0;0.0;0.0;7.8145E-6;7.8145E-6;2.0
Ihis;Loss;5-anonymity;RGR;0.01;0.0;0.05;5;1193504;9;0.1569430415;78531.0;0.0;0.0;1.19804E-5;1.19804E-5;3.0
Ihis;Loss;5-anonymity;RGR;0.025;0.0;0.05;5;1193504;9;0.1194516229;69726.0;4.0;3.3515E-6;1.784162E-4;1.781237E-4;4.0
Ihis;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;1193504;9;0.0992592388;61699.0;1.0;8.379E-7;2.88185E-5;2.87475E-5;5.0
Ihis;Loss;5-anonymity;RGR;0.075;0.0;0.05;5;1193504;9;0.0746821934;59554.0;0.0;0.0;5.45176E-4;5.45176E-4;5.0
Ihis;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;1193504;9;0.0573919245;57578.0;0.0;0.0;1.115731E-4;1.115731E-4;5.0
Ihis;Loss;5-anonymity;RGR;0.125;0.0;0.05;5;1193504;9;0.0515746654;54382.0;0.0;0.0;1.123979E-4;1.123979E-4;6.0
Ihis;Loss;5-anonymity;RGR;0.15;0.0;0.05;5;1193504;9;0.0481190487;54233.0;4.0;3.3515E-6;6.02545E-5;5.99575E-5;7.0
Ihis;Loss;5-anonymity;RGR;0.175;0.0;0.05;5;1193504;9;0.0442279658;57110.0;0.0;0.0;5.07077E-5;5.07077E-5;7.0
Ihis;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;1193504;9;0.0425418132;53836.0;1.0;8.379E-7;2.671203E-4;2.670469E-4;9.0
Ihis;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;1193504;9;0.0366528673;60059.0;2.0;1.6757E-6;2.219561E-4;2.218091E-4;10.0
Ihis;Loss;5-anonymity;RGR;0.4;0.0;0.05;5;1193504;9;0.0316898895;57677.0;3.0;2.5136E-6;2.015759E-4;2.013525E-4;13.0
Ihis;Loss;5-anonymity;RGR;0.5;0.0;0.05;5;1193504;9;0.0300379847;64796.0;0.0;0.0;7.095421E-4;7.095421E-4;14.0
Ihis;Loss;5-anonymity;RGR;0.6;0.0;0.05;5;1193504;9;0.0279496636;72434.0;3.0;2.5136E-6;2.401307E-4;2.399084E-4;21.0
Ihis;Loss;5-anonymity;RGR;0.7;0.0;0.05;5;1193504;9;0.0256378684;91450.0;1.0;8.379E-7;1.686363E-4;1.685617E-4;28.0
Ihis;Loss;5-anonymity;RGR;0.8;0.0;0.05;5;1193504;9;0.0254253148;126028.0;0.0;0.0;2.918043E-4;2.918043E-4;42.0
Ihis;Loss;5-anonymity;RGR;0.9;0.0;0.05;5;1193504;9;0.0230154495;183228.0;4.0;3.3515E-6;3.414405E-4;3.411451E-4;75.0
Ihis;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;1193504;9;0.0219000321;302543.0;0.0;0.0;3.056432E-4;3.056432E-4;136.0
Ihis;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;1193504;9;0.020896056;2695405.0;0.0;0.0;5.108747E-4;5.108747E-4;1449.0
