;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;21000;9;0.0632475101;8264.0;3.0;1.428571E-4;0.0215122019;0.0214716773
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;22000;9;0.1945955977;1003.0;1.0;4.54545E-5;0.0055894639;0.0055809871
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;22000;9;0.0615846051;8647.0;3.0;1.363636E-4;0.0210533151;0.0210143149
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;23000;9;0.1748105909;1003.0;1.0;4.34783E-5;0.0067561574;0.0067491928
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;23000;9;0.0606355534;8467.0;6.0;2.608696E-4;0.0208228637;0.0207478187
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;24000;9;0.1743059788;1038.0;1.0;4.16667E-5;0.0066410237;0.0066343347
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;24000;9;0.0599372809;8476.0;3.0;1.25E-4;0.0211337523;0.0210977095
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;25000;9;0.1741096214;1068.0;1.0;4.0E-5;0.0066463895;0.0066399671
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;25000;9;0.0584891119;9072.0;6.0;2.4E-4;0.0206328651;0.0205631218
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;26000;9;0.173138718;1097.0;1.0;3.84615E-5;0.0063992468;0.0063930414
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;26000;9;0.0577856388;9120.0;3.0;1.153846E-4;0.0206482768;0.0206146962
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;27000;9;0.1727940485;1206.0;2.0;7.40741E-5;0.0063426105;0.0063306453
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;27000;9;0.0568893081;9192.0;5.0;1.851852E-4;0.02054221;0.0204881584
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;28000;9;0.1720527873;1221.0;2.0;7.14286E-5;0.0061774421;0.0061658664
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;28000;9;0.055736034;9637.0;4.0;1.428571E-4;0.0200007071;0.0199587216
