;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.3;0.0;0.05;5.0;30162.0;9.0;0.12311133116657018;1131.8;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;0.05;5.0;30162.0;9.0;0.12311133116657018;1444.0;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.1;0.05;5.0;30162.0;9.0;0.12311133116657018;1964.8;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.15;0.05;5.0;30162.0;9.0;0.12331596226672717;2633.6;2.0;6.630860022544923E-5;0.01884602884038523;0.01883023771375184
Adult;Loss;5-anonymity;RGR;0.3;0.2;0.05;5.0;30162.0;9.0;0.13687843973203018;2576.4;2.0;6.630860022544923E-5;0.009659623211166651;0.009644177566497457
Adult;Loss;5-anonymity;RGR;0.3;0.25;0.05;5.0;30162.0;9.0;0.15421764189238168;2808.4;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.3;0.05;5.0;30162.0;9.0;0.15421764189238168;3242.6;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.35;0.05;5.0;30162.0;9.0;0.15421764189238168;3586.8;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.4;0.05;5.0;30162.0;9.0;0.18526264785830918;3737.0;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.3;0.45;0.05;5.0;30162.0;9.0;0.21123855066316785;3688.0;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.3;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;3712.4;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.999;0.0;0.05;5.0;30162.0;9.0;0.0636195236770224;55575.2;1.0;3.315430011272462E-5;0.019123991362799193;0.019113944976822825
Adult;Loss;5-anonymity;RGR;0.999;0.05;0.05;5.0;30162.0;9.0;0.06864458527388181;246043.4;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.1;0.05;5.0;30162.0;9.0;0.09043975441758016;149317.6;2.0;6.630860022544923E-5;0.017738774989961036;0.017721109343072163
Adult;Loss;5-anonymity;RGR;0.999;0.15;0.05;5.0;30162.0;9.0;0.1111223537801472;24814.2;4.0;1.3261720045089847E-4;0.013390510342284327;0.013358029601801973
Adult;Loss;5-anonymity;RGR;0.999;0.2;0.05;5.0;30162.0;9.0;0.13655852771867852;7189.2;4.0;1.3261720045089847E-4;0.009615917771173533;0.00958499534456941
Adult;Loss;5-anonymity;RGR;0.999;0.25;0.05;5.0;30162.0;9.0;0.15421764189238168;6640.8;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.999;0.3;0.05;5.0;30162.0;9.0;0.15421764189238168;7238.8;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.999;0.35;0.05;5.0;30162.0;9.0;0.15421764189238168;7728.2;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.999;0.4;0.05;5.0;30162.0;9.0;0.18526264785830918;7302.0;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.999;0.45;0.05;5.0;30162.0;9.0;0.21123855066316785;6749.8;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.999;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;6609.4;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.05;5.0;63441.0;8.0;0.12410355266152488;7945.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8022.2;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
