;;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.2;0.4;0.05;5.0;30162.0;9.0;0.18886753362064065;2838.6;0.0;0.0;0.005044372176078236;0.005044372176078236
Adult;Loss;5-anonymity;RGR;0.2;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;2806.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.999;0.001;0.05;5.0;30162.0;9.0;0.17448443415938086;7135.8;3.0;9.946290033817386E-5;0.023211254213770696;0.023193303251966148
Adult;Loss;5-anonymity;RGR;0.999;0.03;0.05;5.0;30162.0;9.0;0.1454792116435893;6299.4;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.999;0.05;0.05;5.0;30162.0;9.0;0.1454792116435893;6536.8;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.999;0.08;0.05;5.0;30162.0;9.0;0.13564574447974437;6724.0;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.999;0.1;0.05;5.0;30162.0;9.0;0.13564574447974437;7073.4;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.999;0.13;0.05;5.0;30162.0;9.0;0.14167100484519723;6616.6;3.0;9.946290033817386E-5;0.020829004232654155;0.020807196563948763
Adult;Loss;5-anonymity;RGR;0.999;0.15;0.05;5.0;30162.0;9.0;0.14167100484519723;6935.6;3.0;9.946290033817386E-5;0.020829004232654155;0.020807196563948763
Adult;Loss;5-anonymity;RGR;0.999;0.17;0.05;5.0;30162.0;9.0;0.154806231624223;6070.0;2.0;6.630860022544923E-5;0.012882924227852786;0.012868324169533178
Adult;Loss;5-anonymity;RGR;0.999;0.2;0.05;5.0;30162.0;9.0;0.154806231624223;6393.8;2.0;6.630860022544923E-5;0.012882924227852786;0.012868324169533178
Adult;Loss;5-anonymity;RGR;0.999;0.3;0.05;5.0;30162.0;9.0;0.1607562377299674;6969.2;2.0;6.630860022544923E-5;0.008511656302741867;0.008497291178655525
Adult;Loss;5-anonymity;RGR;0.999;0.4;0.05;5.0;30162.0;9.0;0.18886753362064065;7183.2;0.0;0.0;0.005044372176078236;0.005044372176078236
Adult;Loss;5-anonymity;RGR;0.999;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;6646.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Cup;Loss;5-anonymity;RGR;0.05;0.001;0.05;5.0;63441.0;8.0;0.12410355266152488;7922.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
