;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1234.0;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.5;0.05;5.0;30162.0;9.0;0.21340347468849327;1822.4;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.13;0.05;0.0;5.0;30162.0;9.0;0.18891950309518704;1344.0;2.0;6.630860022544923E-5;0.005070220005848291;0.005057209546695532
Adult;Loss;5-anonymity;RGR;0.13;0.1;0.0;5.0;30162.0;9.0;0.18891950309518704;1421.2;2.0;6.630860022544923E-5;0.005070220005848291;0.005057209546695532
Adult;Loss;5-anonymity;RGR;0.13;0.5;0.0;5.0;30162.0;9.0;0.21340347468849327;2106.0;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.13;0.05;0.05;5.0;30162.0;9.0;0.18536637554927032;1304.2;4.0;1.3261720045089847E-4;0.005759903456484648;0.005734113246830513
Adult;Loss;5-anonymity;RGR;0.13;0.1;0.05;5.0;30162.0;9.0;0.18536637554927032;1377.0;4.0;1.3261720045089847E-4;0.005759903456484648;0.005734113246830513
Adult;Loss;5-anonymity;RGR;0.13;0.5;0.05;5.0;30162.0;9.0;0.21340347468849327;2105.4;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.15;0.05;0.0;5.0;30162.0;9.0;0.16923686956740563;1336.8;2.0;6.630860022544923E-5;0.008931330061535814;0.008917828275909806
Adult;Loss;5-anonymity;RGR;0.15;0.1;0.0;5.0;30162.0;9.0;0.16923686956740563;1455.6;2.0;6.630860022544923E-5;0.008931330061535814;0.008917828275909806
Adult;Loss;5-anonymity;RGR;0.15;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;2228.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.15;0.05;0.05;5.0;30162.0;9.0;0.1678707114515761;1241.4;4.0;1.3261720045089847E-4;0.0109137024627051;0.010887297020639484
Adult;Loss;5-anonymity;RGR;0.15;0.1;0.05;5.0;30162.0;9.0;0.1678707114515761;1364.0;4.0;1.3261720045089847E-4;0.0109137024627051;0.010887297020639484
Adult;Loss;5-anonymity;RGR;0.15;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;2227.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.17;0.05;0.0;5.0;30162.0;9.0;0.1607562377299674;1341.8;2.0;6.630860022544923E-5;0.008511656302741867;0.008497291178655525
Adult;Loss;5-anonymity;RGR;0.17;0.1;0.0;5.0;30162.0;9.0;0.1607562377299674;1446.6;2.0;6.630860022544923E-5;0.008511656302741867;0.008497291178655525
Adult;Loss;5-anonymity;RGR;0.17;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;2548.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.17;0.05;0.05;5.0;30162.0;9.0;0.15942177813913985;1220.0;0.0;0.0;0.007575616314959766;0.007575616314959766
