;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;10-anonymity;Flash;0.2;0.5;10.0;30162.0;9.0;0.29401362007097104;2261.4;4008.0;0.1328824348518003;0.020872028559498698;9.059393677773445E-27
Adult;Loss;10-anonymity;Flash;0.3;0.5;10.0;30162.0;9.0;0.29401362007097104;3115.4;4008.0;0.1328824348518003;0.020872028559498698;9.059393677773445E-27
Adult;Loss;10-anonymity;Flash;0.999;0.5;10.0;30162.0;9.0;0.29401362007097104;5391.2;4008.0;0.1328824348518003;0.020872028559498698;9.059393677773445E-27
Cup;Loss;10-anonymity;Flash;0.05;0.5;10.0;63441.0;8.0;0.18061795039104184;8044.2;2007.0;0.031635693006100155;0.005969545963278349;8.01582279171622E-26
Cup;Loss;10-anonymity;Flash;0.1;0.5;10.0;63441.0;8.0;0.18311174227997387;8742.4;5127.0;0.08081524566132312;0.017570262967518128;6.544209244151035E-26
Cup;Loss;10-anonymity;Flash;0.2;0.5;10.0;63441.0;8.0;0.18311174227997387;8914.8;5127.0;0.08081524566132312;0.017570262967518128;6.544209244151035E-26
Cup;Loss;10-anonymity;Flash;0.3;0.5;10.0;63441.0;8.0;0.18311174227997387;9923.4;5127.0;0.08081524566132312;0.017570262967518128;6.544209244151035E-26
Cup;Loss;10-anonymity;Flash;0.999;0.5;10.0;63441.0;8.0;0.18311174227997387;37848.0;5127.0;0.08081524566132312;0.017570262967518128;6.544209244151035E-26
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;30162.0;9.0;0.10828639772323408;84556.0;17.0;5.636231019163186E-4;0.02741337331983214;0.02727634127214644
Cup;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;63441.0;8.0;0.10273625984218404;409081.6;0.0;0.0;0.010231812372565104;0.010231812372565104
Adult;Loss;25-anonymity;RGR;0.05;0.5;25.0;30162.0;9.0;0.425274928528981;976.8;0.0;0.0;0.0020591542043692985;0.0020591542043692985
Adult;Loss;25-anonymity;RGR;0.1;0.5;25.0;30162.0;9.0;0.34366627698962005;1394.4;0.0;0.0;0.003107797057307993;0.003107797057307993
Adult;Loss;25-anonymity;RGR;0.2;0.5;25.0;30162.0;9.0;0.3071471113862099;2111.4;7.0;2.3208010078907233E-4;0.008151944515725075;0.008118704413761264
Adult;Loss;25-anonymity;RGR;0.3;0.5;25.0;30162.0;9.0;0.3071217658536429;2750.4;9.0;2.9838870101452157E-4;0.00816600232263689;0.008123258323116425
Adult;Loss;25-anonymity;RGR;0.999;0.5;25.0;30162.0;9.0;0.3071217658536429;7923.0;9.0;2.9838870101452157E-4;0.00816600232263689;0.008123258323116425
Cup;Loss;25-anonymity;RGR;0.05;0.5;25.0;63441.0;8.0;0.20630625150559406;8039.6;4.0;6.305070853233713E-5;0.003143746883270927;0.003129904023066871
Cup;Loss;25-anonymity;RGR;0.1;0.5;25.0;63441.0;8.0;0.1715167800210165;8812.0;23.0;3.625415740609385E-4;0.002346623704724484;0.002278613656863882
Cup;Loss;25-anonymity;RGR;0.2;0.5;25.0;63441.0;8.0;0.17132212461952542;8699.2;5.0;7.881338566542141E-5;0.0021760213818814477;0.002161203901073442
Cup;Loss;25-anonymity;RGR;0.3;0.5;25.0;63441.0;8.0;0.1712784392813113;9213.6;12.0;1.891521255970114E-4;0.002173829477532872;0.002138259216651476
Cup;Loss;25-anonymity;RGR;0.999;0.5;25.0;63441.0;8.0;0.1712784392813113;33603.4;12.0;1.891521255970114E-4;0.002173829477532872;0.002138259216651476
Adult;Loss;25-anonymity;Flash;0.05;0.5;25.0;30162.0;9.0;0.4381663882476645;933.2;1345.0;0.04459253365161461;0.005424125411294625;2.0089812478799077E-26
Adult;Loss;25-anonymity;Flash;0.1;0.5;25.0;30162.0;9.0;0.37309198701848406;1311.8;2660.0;0.08819043829984749;0.010595142148312257;8.142501743275209E-27
Adult;Loss;25-anonymity;Flash;0.2;0.5;25.0;30162.0;9.0;0.3598192710894702;1930.6;4027.0;0.13351236655394205;0.019527505823168208;1.110090749460266E-26
Adult;Loss;25-anonymity;Flash;0.3;0.5;25.0;30162.0;9.0;0.3598192710894702;2482.2;4027.0;0.13351236655394205;0.019527505823168208;1.110090749460266E-26
Adult;Loss;25-anonymity;Flash;0.999;0.5;25.0;30162.0;9.0;0.3598192710894702;6033.2;4027.0;0.13351236655394205;0.019527505823168208;1.110090749460266E-26
Cup;Loss;25-anonymity;Flash;0.05;0.5;25.0;63441.0;8.0;0.23185636022522216;7781.2;3154.0;0.04971548367774783;0.010938264613729643;5.895915436668336E-26
Cup;Loss;25-anonymity;Flash;0.1;0.5;25.0;63441.0;8.0;0.20643292239941094;8245.4;3917.0;0.061742406330291134;0.011288359037774812;7.054738490113296E-26
Cup;Loss;25-anonymity;Flash;0.2;0.5;25.0;63441.0;8.0;0.20643292239941094;8066.0;3917.0;0.061742406330291134;0.011288359037774812;7.054738490113296E-26
Cup;Loss;25-anonymity;Flash;0.3;0.5;25.0;63441.0;8.0;0.20643292239941094;8589.2;3917.0;0.061742406330291134;0.011288359037774812;7.054738490113296E-26
Cup;Loss;25-anonymity;Flash;0.999;0.5;25.0;63441.0;8.0;0.20643292239941094;31397.0;3917.0;0.061742406330291134;0.011288359037774812;7.054738490113296E-26
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;30162.0;9.0;0.17175938156892953;44284.0;48.0;0.0015914064054107818;0.0346606143386201;0.0343600971802552
Cup;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;63441.0;8.0;0.13669398534693614;154291.6;0.0;0.0;0.012220638605626943;0.012220638605626943
Adult;Loss;50-anonymity;RGR;0.05;0.5;50.0;30162.0;9.0;0.4953344544125976;742.4;0.0;0.0;0.0026615545715765153;0.0026615545715765153
Adult;Loss;50-anonymity;RGR;0.1;0.5;50.0;30162.0;9.0;0.4133312323086077;1089.8;0.0;0.0;0.005511091432288123;0.005511091432288123
Adult;Loss;50-anonymity;RGR;0.2;0.5;50.0;30162.0;9.0;0.3326394027991784;1730.4;14.0;4.6416020157814467E-4;0.009428602086317205;0.009364143193361934
Adult;Loss;50-anonymity;RGR;0.3;0.5;50.0;30162.0;9.0;0.3326394027991784;2292.2;14.0;4.6416020157814467E-4;0.009428602086317205;0.009364143193361934
Adult;Loss;50-anonymity;RGR;0.999;0.5;50.0;30162.0;9.0;0.3326394027991784;7936.4;14.0;4.6416020157814467E-4;0.009428602086317205;0.009364143193361934
Cup;Loss;50-anonymity;RGR;0.05;0.5;50.0;63441.0;8.0;0.24645669624058558;6826.4;4.0;6.305070853233713E-5;0.0014261117533526833;0.0014144564561185773
