;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.05;0.3300000000000001;5.0;30162.0;9.0;0.2925002644589774;1463.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.34000000000000014;5.0;30162.0;9.0;0.2925002644589774;1420.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.35000000000000014;5.0;30162.0;9.0;0.2925002644589774;1409.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.36000000000000015;5.0;30162.0;9.0;0.2925002644589774;1397.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.37000000000000016;5.0;30162.0;9.0;0.2925002644589774;1413.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.38000000000000017;5.0;30162.0;9.0;0.2925002644589774;1547.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.3900000000000002;5.0;30162.0;9.0;0.2925002644589774;1473.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.4000000000000002;5.0;30162.0;9.0;0.2925002644589774;1462.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.4100000000000002;5.0;30162.0;9.0;0.2925002644589774;1451.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.4200000000000002;5.0;30162.0;9.0;0.2925002644589774;1568.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.4300000000000002;5.0;30162.0;9.0;0.2925002644589774;1502.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.4400000000000002;5.0;30162.0;9.0;0.2925002644589774;1472.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.45000000000000023;5.0;30162.0;9.0;0.2925002644589774;1469.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.46000000000000024;5.0;30162.0;9.0;0.2925002644589774;1526.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.47000000000000025;5.0;30162.0;9.0;0.2925002644589774;1408.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.48000000000000026;5.0;30162.0;9.0;0.2925002644589774;1423.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.49000000000000027;5.0;30162.0;9.0;0.2925002644589774;1419.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5000000000000002;5.0;30162.0;9.0;0.2925002644589774;1411.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5100000000000002;5.0;30162.0;9.0;0.2925002644589774;1424.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5200000000000002;5.0;30162.0;9.0;0.2925002644589774;1469.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5300000000000002;5.0;30162.0;9.0;0.2925002644589774;1484.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5400000000000003;5.0;30162.0;9.0;0.2925002644589774;1548.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5500000000000003;5.0;30162.0;9.0;0.2925002644589774;1552.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5600000000000003;5.0;30162.0;9.0;0.2925002644589774;1548.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5700000000000003;5.0;30162.0;9.0;0.2925002644589774;1519.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5800000000000003;5.0;30162.0;9.0;0.2925002644589774;1536.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5900000000000003;5.0;30162.0;9.0;0.2925002644589774;1589.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6000000000000003;5.0;30162.0;9.0;0.2925002644589774;1591.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6100000000000003;5.0;30162.0;9.0;0.2925002644589774;1620.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6200000000000003;5.0;30162.0;9.0;0.2925002644589774;1622.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6300000000000003;5.0;30162.0;9.0;0.2925002644589774;1670.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6400000000000003;5.0;30162.0;9.0;0.2925002644589774;1703.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6500000000000004;5.0;30162.0;9.0;0.2925002644589774;1690.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
