;;;;;Time;Utility;Suppressed;Step;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Atus;Discernibility;5-anonymity;RGR;0.02;15129.0;0.003610942649004307;6.0;1.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006314290323837;0.5006314290323837;0.999374134219003;1.0;4.283703567713114E-4;1.0
Atus;Discernibility;5-anonymity;RGR;0.02;15207.0;0.003599778603270665;0.0;2.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006203025296104;0.5006314290323837;0.9993630077162297;0.9999888734972268;4.1724385399803063E-4;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;19024.0;0.004866854638577227;681.0;0.0;0.0012628580647673726;1.0;0.0012628580647673726;0.5006314290323837;0.5006314290323837;1.0;1.0;0.0012628580647673726;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;19165.0;0.003610942649004307;6.0;1.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006314290323837;0.5006314290323837;0.999374134219003;1.0;4.283703567713114E-4;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;19243.0;0.003599778603270665;0.0;2.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006203025296104;0.5006314290323837;0.9993630077162297;0.9999888734972268;4.1724385399803063E-4;1.0
Atus;Discernibility;5-anonymity;RGR;0.1;27380.0;0.004866854638577227;681.0;0.0;0.0012628580647673726;1.0;0.0012628580647673726;0.5006314290323837;0.5006314290323837;1.0;1.0;0.0012628580647673726;1.0
Atus;Discernibility;5-anonymity;RGR;0.1;27552.0;0.003610942649004307;6.0;1.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006314290323837;0.5006314290323837;0.999374134219003;1.0;4.283703567713114E-4;1.0
Atus;Discernibility;5-anonymity;RGR;0.1;27630.0;0.003599778603270665;0.0;2.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006203025296104;0.5006314290323837;0.9993630077162297;0.9999888734972268;4.1724385399803063E-4;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;31976.0;0.004866854638577227;681.0;0.0;0.0012628580647673726;1.0;0.0012628580647673726;0.5006314290323837;0.5006314290323837;1.0;1.0;0.0012628580647673726;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;33148.0;0.003610942649004307;6.0;1.0;6.369922837703268E-4;1.0;1.1126502773280816E-5;0.5006314290323837;0.5006314290323837;0.999374134219003;1.0;4.283703567713114E-4;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;33398.0;0.0036016392603070817;1.0;2.0;6.27720198125926E-4;1.0;1.1126502773280816E-5;0.5006221569467393;0.5006314290323837;0.9993648621333585;0.9999907279143556;4.1909827112691076E-4;1.0
Ihis;Loss;5-anonymity;RGR;0.02;78291.0;0.16329811046881532;21884.0;0.0;0.21466874011314582;0.018335925141432285;0.018335925141432285;0.6727786417138107;0.7545839812853581;0.018335925141432285;0.018335925141432285;0.018335925141432285;1.0
Ihis;Loss;5-anonymity;RGR;0.02;80135.0;0.15248318465881097;373.0;1.0;0.21106406011207335;3.125251360699252E-4;3.125251360699252E-4;0.6667708417120233;0.7545839812853581;3.125251360699252E-4;3.125251360699252E-4;0.018335925141432285;1.0
Ihis;Loss;5-anonymity;RGR;0.02;80541.0;0.15237358512127838;4.0;2.0;0.2110022253800574;3.3514759900260073E-6;3.3514759900260073E-6;0.6667708417120233;0.7545839812853581;3.125251360699252E-4;3.3514759900260073E-6;0.018335925141432285;1.0
Ihis;Loss;5-anonymity;RGR;0.05;75033.0;0.14900863997900207;56015.0;0.0;0.8093866463790654;0.0469332318953267;0.0469332318953267;0.6823110772984422;0.7617333079738317;0.5234666159476633;0.0469332318953267;0.0469332318953267;0.0469332318953267
Ihis;Loss;5-anonymity;RGR;0.05;81104.0;0.1195481716551636;1775.0;1.0;0.8002974434941149;0.0014872174705740408;0.0014872174705740408;0.6671624058235247;0.7503718043676435;0.4780206015229107;0.0014872174705740408;0.0469332318953267;0.0469332318953267
Ihis;Loss;5-anonymity;RGR;0.05;81589.0;0.11891137377837138;11.0;2.0;0.8000018433117946;9.21655897257152E-6;9.21655897257152E-6;0.6671624058235247;0.7500023041397431;0.4780206015229107;9.21655897257152E-6;0.0469332318953267;0.0469332318953267
Ihis;Loss;5-anonymity;RGR;0.05;81979.0;0.11891057302031041;0.0;3.0;0.8;9.21655897257152E-6;9.21655897257152E-6;0.6671624058235247;0.7500023041397431;0.4780206015229107;9.21655897257152E-6;0.0469332318953267;0.0469332318953267
Ihis;Loss;5-anonymity;RGR;0.1;90548.0;0.14358687551961796;84659.0;0.0;0.8141866302919806;0.07093315145990294;0.07093315145990294;0.6903110504866343;0.7677332878649757;0.07093315145990294;0.07093315145990294;0.07093315145990294;0.07093315145990294
Ihis;Loss;5-anonymity;RGR;0.1;102810.0;0.09701899608601865;3076.0;1.0;0.7731731104378368;0.0025772850363299875;0.0025772850363299875;0.6675257616787766;0.7506443212590825;0.0025772850363299875;0.0025772850363299875;0.07093315145990294;0.07093315145990294
