;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;4.0;0.020372703660657385;10.69;0.0049688654858146206
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;5.0;0.06443245707273129;29.29;0.013351274060437748
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;5.0;0.06422186447278522;27.005;0.0057711677812653595
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;6.0;0.1478700950695853;71.945;0.004781666567334476
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;6.0;0.10013796203702792;84.66;0.00881398697114783
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;7.0;0.17380903676691628;207.9;0.009085246327460762
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;7.0;0.11898739366565424;251.97;0.011683965729568854
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;1.0;0.0;3.595;0.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;1.0;0.0;3.84;0.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;2.0;7.665578716158665E-4;4.82;7.288625859938148E-4
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;2.0;7.665578716158665E-4;4.78;7.288625859938148E-4
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;3.0;0.014551260874977923;5.975;0.013892033172274354
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;3.0;0.014551260874977923;5.91;0.013892033172274354
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;4.0;0.030329804637335547;7.26;0.013661925736953085
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;4.0;0.030329804637335547;7.64;0.013661925736953085
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;5.0;0.09391152965002662;23.505;0.03559576972817928
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;5.0;0.09391152965002662;20.865;0.03559576972817928
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;6.0;0.16362913655109496;62.405;0.022387613217820592
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;6.0;0.14249100722528504;67.29;0.04994056892198612
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;7.0;0.19562985815864736;183.785;0.027119940003352803
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;7.0;0.1740435552422219;197.605;0.06146222650119706
