;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;5.0;0.0642218644727854;29.7;0.0;0.0;0.003186620283107755;0.003186620283107755
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;6.0;0.14787009506958534;74.1;1.0;3.315430011272462E-5;0.0024629241334135775;0.0024557373369651536
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;6.0;0.10013796203702777;86.3;0.0;0.0;0.004045192470705949;0.004045192470705949
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;7.0;0.17380903676691686;198.2;0.0;0.0;0.004091736352466425;0.004091736352466425
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;7.0;0.11898739366565395;243.9;0.0;0.0;0.005122639873504628;0.005122639873504628
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;8.0;0.2662807974084261;700.0;0.0;0.0;0.003580269308408122;0.003580269308408122
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;8.0;0.20176665430484203;920.5;1.0;3.315430011272462E-5;0.004693018312607727;0.004687000885465532
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;9.0;0.27392451959798264;1255.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;9.0;0.21340347468849324;1854.2;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;1.0;0.0;3.4;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;2.0;7.665578716158692E-4;5.3;22.0;7.293946024799417E-4;3.2434385076730594E-4;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;2.0;7.665578716158692E-4;5.5;22.0;7.293946024799417E-4;3.2434385076730594E-4;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;3.0;0.014551260874977903;5.7;425.0;0.014090577547907964;0.005278972605463881;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;3.0;0.014551260874977903;6.9;425.0;0.014090577547907964;0.005278972605463881;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;4.0;0.03032980463733568;7.8;470.0;0.015582521052980572;0.00500244859732758;2.9218331334547365E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;4.0;0.03032980463733568;7.9;470.0;0.015582521052980572;0.00500244859732758;2.9218331334547365E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;5.0;0.09391152965002658;23.9;1385.0;0.0459187056561236;0.013554382332731495;5.733108258451924E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;5.0;0.09391152965002658;19.9;1385.0;0.0459187056561236;0.013554382332731495;5.733108258451924E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;6.0;0.1636291365510955;61.9;1120.0;0.03713281612625158;0.008018158848586619;3.9952605237829975E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;6.0;0.14249100722528538;66.5;2160.0;0.07161328824348517;0.018603439048660703;7.652156213171215E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;7.0;0.19562985815864836;175.1;1504.0;0.04986406736953783;0.00985906172461204;4.51826774696227E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;7.0;0.17404355524222237;188.7;2761.0;0.09153902261123267;0.02299759766371351;8.993718659613482E-27
