;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Discernibility;25-anonymity;RGR;0.1;25.0;63441.0;8.0;0.007535101822223121;2305.0;4.0;6.305070853233713E-5;3.895335704959654E-4;3.8553296192348597E-4
Cup;Discernibility;25-anonymity;Flash;0.05;25.0;63441.0;8.0;0.010134267398174149;1430.0;169.0;0.002663892435491244;1.7010875109731212E-4;2.4796292567203263E-25
Cup;Discernibility;25-anonymity;Flash;0.1;25.0;63441.0;8.0;0.010134267398174149;2235.0;169.0;0.002663892435491244;1.7010875109731212E-4;2.4796292567203263E-25
Cup;Discernibility;25-anonymity;Tassa & Goldberger;0.0;25.0;63441.0;8.0;7.653530115151226E-4;265550.0;0.0;0.0;0.012549298155231713;0.012549298155231713
Cup;Loss;50-anonymity;RGR;0.05;50.0;63441.0;8.0;0.24645669624058558;7398.0;4.0;6.305070853233713E-5;0.0014261117533526833;0.0014144564561185773
Cup;Loss;50-anonymity;RGR;0.1;50.0;63441.0;8.0;0.219393000251435;9068.0;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Cup;Loss;50-anonymity;Flash;0.05;50.0;63441.0;8.0;0.2624112690921138;7021.0;2150.0;0.033889755836131207;0.006216288259761313;6.781256900233495E-26
Cup;Loss;50-anonymity;Flash;0.1;50.0;63441.0;8.0;0.24908403679346192;8428.0;3904.0;0.06153749152756104;0.010451259604065231;7.066539413995235E-26
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;63441.0;8.0;0.16985281892923543;125240.0;0.0;0.0;0.014250101802519278;0.014250101802519278
Cup;Discernibility;50-anonymity;RGR;0.05;50.0;63441.0;8.0;0.009621431778626498;987.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
Cup;Discernibility;50-anonymity;RGR;0.1;50.0;63441.0;8.0;0.009621431778626498;1687.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
Cup;Discernibility;50-anonymity;Flash;0.05;50.0;63441.0;8.0;0.015602000691212276;911.0;393.0;0.006194732113302123;5.780135565781477E-4;2.236502822621136E-25
Cup;Discernibility;50-anonymity;Flash;0.1;50.0;63441.0;8.0;0.015602000691212276;1607.0;393.0;0.006194732113302123;5.780135565781477E-4;2.236502822621136E-25
Cup;Discernibility;50-anonymity;Tassa & Goldberger;0.0;50.0;63441.0;8.0;0.0022653088939086955;121319.0;50.0;7.881338566542141E-4;0.01416174842706147;0.014013257828327864
