;;;;;Time;Generalization degree;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.1;13577.0;0.6875;1.0;1.0;0.0;1.0;1.0;0.5;0.75;0.25;-0.1
Cup;Loss;5-anonymity;RGR;0.1;13858.0;0.90625;1.0;1.0;1.0;1.0;1.0;0.75;0.5;1.0;-0.1
Cup;Loss;5-anonymity;RGR;1.0;78229.0;0.31875;0.8;0.75;0.0;0.0;0.0;0.25;0.5;0.25;-0.1
Cup;Loss;5-anonymity;RGR;1.0;87119.0;0.5;1.0;0.75;0.0;0.0;1.0;0.5;0.5;0.25;-0.1
Cup;Loss;5-anonymity;RGR;1.0;88134.0;0.625;1.0;1.0;0.0;0.5;1.0;0.5;0.75;0.25;-0.1
Cup;Loss;5-anonymity;RGR;1.0;88650.0;0.78125;1.0;1.0;1.0;0.5;1.0;0.75;0.75;0.25;-0.1
Cup;Loss;5-anonymity;RGR;1.0;89056.0;0.84375;1.0;1.0;1.0;1.0;1.0;0.5;0.25;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.02;4940.0;0.6666666666666666;0.0;1.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.02;4971.0;0.75;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.05;7769.0;0.6666666666666666;0.0;1.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.05;7832.0;0.75;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.1;11412.0;0.6666666666666666;0.0;1.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.1;11443.0;0.75;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;-0.1
Fars;Discernibility;5-anonymity;RGR;1.0;40083.0;0.6666666666666666;0.0;1.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;1.0;40295.0;0.75;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.02;6697.0;0.35;0.8;0.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.6666666666666666;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.02;6822.0;0.6041666666666666;1.0;0.5;0.6666666666666666;0.6666666666666666;0.0;1.0;1.0;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.02;6885.0;0.875;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;-0.1
Fars;Loss;5-anonymity;RGR;0.05;5926.0;0.24166666666666664;0.6;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.05;6325.0;0.4375;1.0;0.5;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.05;6388.0;0.7083333333333334;1.0;1.0;1.0;1.0;0.0;1.0;0.6666666666666666;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.05;6459.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;-0.1
Fars;Loss;5-anonymity;RGR;0.1;6693.0;0.19999999999999998;0.6;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;-0.1
Fars;Loss;5-anonymity;RGR;0.1;7428.0;0.43749999999999994;1.0;0.5;0.6666666666666666;0.6666666666666666;0.0;0.0;0.6666666666666666;0.0;-0.1
