;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;2.0;7.665578716158693E-4;6.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;3.0;0.014551260874977899;7.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;3.0;0.014551260874977899;7.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;4.0;0.030329804637335672;8.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;4.0;0.030329804637335672;9.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;5.0;0.09391152965002658;29.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;5.0;0.09391152965002658;23.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;6.0;0.16362913655109548;74.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;6.0;0.14249100722528538;77.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;7.0;0.19562985815864833;206.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;7.0;0.17404355524222237;213.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;8.0;0.28621524943868065;783.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;8.0;0.24600112110693256;923.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1420.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;1939.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;1.0;5.516936996579076E-4;9.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;1.0;5.516936996579076E-4;10.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;2.0;0.002789927629267377;10.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;2.0;0.002789927629267377;11.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;3.0;0.02010747894153005;16.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;3.0;0.02010747894153005;15.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;4.0;0.06255836266099955;24.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;4.0;0.06255836266099955;29.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;5.0;0.08620285814284667;121.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;5.0;0.08620285814284667;133.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;6.0;0.13682072445325844;365.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;6.0;0.13682072445325844;464.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;7.0;0.13666435564355062;2426.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;7.0;0.13666435564355062;2545.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;8.0;0.14729676771402941;8616.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;8.0;0.14729676771402941;9256.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;1.0;2.3207240659095518E-4;203035.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;2.0;3.937744480350416E-4;58720.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;3.0;0.0016986374865992971;281194.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;4.0;0.005419436474692102;181163.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;5.0;0.017118676532183158;128280.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;6.0;0.02535155861330774;238656.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;7.0;0.03484129333079256;248465.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;8.0;0.06293133542332904;242950.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;9.0;0.06941199847287126;246290.0
