;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Fars;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;100937;8;0.049733292;29059.0;1.0;9.9072E-6;0.0167834741;0.0167798578
Fars;Loss;10-anonymity;RGR;0.999;0.0;0.05;10;100937;8;0.0487713591;140368.0;0.0;0.0;0.0171968235;0.0171968235
Atus;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;539253;9;0.085589569;18968.0;1.0;1.8544E-6;0.0040020629;0.0040016382
Atus;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;539253;9;0.061219458;19097.0;0.0;0.0;0.0095470878;0.0095470878
Atus;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;539253;9;0.0351357415;16981.0;0.0;0.0;0.0206864206;0.0206864206
Atus;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;539253;9;0.0305104631;19629.0;7.0;1.29809E-5;0.0236505265;0.0236467777
Atus;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;539253;9;0.0184015669;133121.0;2.0;3.7088E-6;0.0201085794;0.0201074131
Atus;Loss;10-anonymity;RGR;0.999;0.0;0.05;10;539253;9;0.0173072417;1429799.0;9.0;1.66898E-5;0.0193659769;0.0193606801
Ihis;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;1193504;9;0.1205142773;74655.0;0.0;0.0;0.0037947243;0.0037947243
Ihis;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;1193504;9;0.1069302681;73395.0;0.0;0.0;0.0094122928;0.0094122928
Ihis;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;1193504;9;0.0588221797;71684.0;7.0;5.8651E-6;0.0064871901;0.0064856186
Ihis;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;1193504;9;0.0503784463;76897.0;5.0;4.1893E-6;0.0127253331;0.0127242114
Ihis;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;1193504;9;0.0327582979;469095.0;0.0;0.0;0.0150921235;0.0150921235
Ihis;Loss;10-anonymity;RGR;0.999;0.0;0.05;10;1193504;9;0.0314565791;2839996.0;3.0;2.5136E-6;0.0148557674;0.0148549445
Fars;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;100937;8;0.1882839059;4595.0;4929.0;0.04883244;0.0120151512;0.0
Fars;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;100937;8;0.1824133903;5180.0;5520.0;0.0546875774;0.0140624022;2.20742E-5
Fars;Loss;10-anonymity;Flash;0.2;0.5;0.0;10;100937;8;0.1824133903;6500.0;5520.0;0.0546875774;0.0140624022;2.20742E-5
Fars;Loss;10-anonymity;Flash;0.3;0.5;0.0;10;100937;8;0.1824133903;7971.0;5520.0;0.0546875774;0.0140624022;2.20742E-5
Fars;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;100937;8;0.1824133903;21296.0;5520.0;0.0546875774;0.0140624022;2.20742E-5
Fars;Loss;10-anonymity;Flash;0.999;0.5;0.0;10;100937;8;0.1824133903;22211.0;5520.0;0.0546875774;0.0140624022;2.20742E-5
Atus;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;539253;9;0.1149066453;17303.0;25336.0;0.0469835124;0.0112059227;3.735379E-4
