;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Ihis;NMEntropy;5-anonymity;RGR;1.0;0.0;0.33;5;1193504;9;0.2726490571;14624.0;0.0;0.0;0.0179685987;0.0179685987;3.0
Ihis;NMEntropy;5-anonymity;RGR;1.0;0.0;0.5;5;1193504;9;0.3106940306;6248.0;0.0;0.0;0.0015719864;0.0015719864;2.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.001;5;30162;9;0.0531040822;18859.0;0.0;0.0;9.465325E-4;9.465325E-4;149.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;30162;9;0.058002091;4792.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.02;5;30162;9;0.0617190516;2918.0;0.0;0.0;0.0012333007;0.0012333007;20.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.05;5;30162;9;0.0737650942;1626.0;0.0;0.0;0.0014608333;0.0014608333;11.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.1;5;30162;9;0.080927003;1130.0;0.0;0.0;0.0015868641;0.0015868641;7.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.25;5;30162;9;0.1058491161;881.0;0.0;0.0;0.0018507861;0.0018507861;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.33;5;30162;9;0.1509439913;477.0;0.0;0.0;0.0029072396;0.0029072396;3.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.5;5;30162;9;0.2755071017;251.0;0.0;0.0;0.004556486;0.004556486;2.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.001;5;63441;8;0.0688218601;131101.0;0.0;0.0;2.184535E-4;2.184535E-4;82.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;63441;8;0.0716835653;55533.0;0.0;0.0;1.829405E-4;1.829405E-4;27.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.02;5;63441;8;0.0756961584;45576.0;0.0;0.0;2.406232E-4;2.406232E-4;21.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.05;5;63441;8;0.081541319;31047.0;0.0;0.0;6.075739E-4;6.075739E-4;12.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.1;5;63441;8;0.0865668469;22381.0;0.0;0.0;9.772947E-4;9.772947E-4;8.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.25;5;63441;8;0.1310111953;12647.0;0.0;0.0;4.896218E-4;4.896218E-4;4.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.33;5;63441;8;0.2293993561;10248.0;0.0;0.0;0.0010748715;0.0010748715;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.5;5;63441;8;0.3920755563;6837.0;0.0;0.0;0.0015118759;0.0015118759;2.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.001;5;100937;8;0.0374380939;33777.0;0.0;0.0;2.717167E-4;2.717167E-4;109.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;100937;8;0.0411538054;11974.0;0.0;0.0;3.522985E-4;3.522985E-4;36.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.02;5;100937;8;0.0436759602;8452.0;0.0;0.0;3.267392E-4;3.267392E-4;26.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.05;5;100937;8;0.0547941649;5448.0;0.0;0.0;8.786477E-4;8.786477E-4;15.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.1;5;100937;8;0.0804836772;3325.0;0.0;0.0;0.0019132802;0.0019132802;10.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.25;5;100937;8;0.12621287;2187.0;0.0;0.0;0.0030159577;0.0030159577;6.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.33;5;100937;8;0.1254681305;1992.0;0.0;0.0;0.0029606795;0.0029606795;6.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.5;5;100937;8;0.3407331259;502.0;0.0;0.0;0.0077868786;0.0077868786;4.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.001;5;539253;9;0.0125861327;64637.0;0.0;0.0;0.0013299122;0.0013299122;223.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;539253;9;0.0149781135;16547.0;0.0;0.0;0.0014707927;0.0014707927;64.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.02;5;539253;9;0.0167789647;11746.0;0.0;0.0;0.0013946889;0.0013946889;38.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.05;5;539253;9;0.0233146834;7089.0;0.0;0.0;0.0015257746;0.0015257746;24.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.1;5;539253;9;0.03877517;8629.0;0.0;0.0;0.0014941112;0.0014941112;17.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.25;5;539253;9;0.0927935822;1004.0;0.0;0.0;0.0017169661;0.0017169661;9.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.33;5;539253;9;0.0927935822;1093.0;0.0;0.0;0.0017169661;0.0017169661;9.0
Atus;Loss;5-anonymity;RGR;1.0;0.0;0.5;5;539253;9;0.0927935822;1037.0;0.0;0.0;0.0017169661;0.0017169661;9.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.001;5;1193504;9;0.0215692715;468690.0;0.0;0.0;3.840704E-4;3.840704E-4;113.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;1193504;9;0.0237398654;164130.0;0.0;0.0;2.461125E-4;2.461125E-4;27.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.02;5;1193504;9;0.0258258982;111420.0;0.0;0.0;1.802029E-4;1.802029E-4;17.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.05;5;1193504;9;0.0285347626;80822.0;0.0;0.0;2.613671E-4;2.613671E-4;10.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.1;5;1193504;9;0.032318378;60609.0;0.0;0.0;2.179486E-4;2.179486E-4;7.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.25;5;1193504;9;0.0718792926;49240.0;0.0;0.0;1.903179E-4;1.903179E-4;4.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.33;5;1193504;9;0.0978508211;24822.0;0.0;0.0;0.0010037065;0.0010037065;3.0
Ihis;Loss;5-anonymity;RGR;1.0;0.0;0.5;5;1193504;9;0.1388295423;11849.0;0.0;0.0;0.0013560426;0.0013560426;2.0
