;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Discernibility;25-anonymity;RGRNew;0.05;25.0;30162.0;9.0;0.012749591603016653;940.0;12.0;3.9785160135269546E-4;6.728352523006809E-4;6.342214121333812E-4
Adult;Discernibility;25-anonymity;RGRNew;0.1;25.0;30162.0;9.0;0.012749591603016653;1599.0;12.0;3.9785160135269546E-4;6.728352523006809E-4;6.342214121333812E-4
Cup;Discernibility;25-anonymity;RGRNew;0.05;25.0;63441.0;8.0;0.007535101822223121;1715.0;4.0;6.305070853233713E-5;3.895335704959654E-4;3.8553296192348597E-4
Cup;Discernibility;25-anonymity;RGRNew;0.1;25.0;63441.0;8.0;0.007535101822223121;2663.0;4.0;6.305070853233713E-5;3.895335704959654E-4;3.8553296192348597E-4
Adult;Loss;50-anonymity;RGRNew;0.05;50.0;30162.0;9.0;0.49533445441259755;910.0;0.0;0.0;0.0026615545715765153;0.0026615545715765153
Adult;Loss;50-anonymity;RGRNew;0.1;50.0;30162.0;9.0;0.4133312323086077;1375.0;0.0;0.0;0.005511091432288123;0.005511091432288123
Cup;Loss;50-anonymity;RGRNew;0.05;50.0;63441.0;8.0;0.24645669624058558;9211.0;4.0;6.305070853233713E-5;0.0014261117533526833;0.0014144564561185773
Cup;Loss;50-anonymity;RGRNew;0.1;50.0;63441.0;8.0;0.219393000251435;10924.0;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Adult;Discernibility;50-anonymity;RGRNew;0.05;50.0;30162.0;9.0;0.022337966804824614;577.0;16.0;5.304688018035939E-4;9.682369009605195E-4;9.318091919303885E-4
Adult;Discernibility;50-anonymity;RGRNew;0.1;50.0;30162.0;9.0;0.022337966804824614;1181.0;16.0;5.304688018035939E-4;9.682369009605195E-4;9.318091919303885E-4
Cup;Discernibility;50-anonymity;RGRNew;0.05;50.0;63441.0;8.0;0.009621431778626498;1197.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
Cup;Discernibility;50-anonymity;RGRNew;0.1;50.0;63441.0;8.0;0.009621431778626498;1886.0;13.0;2.049148027300957E-4;0.0010981904124831444;0.0010793713624601387
