;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;10-anonymity;RGR;1.0;0.45;0.01;10;30162;9;0.1863289183;7041.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.475;0.01;10;30162;9;0.1863289183;7152.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.5;0.01;10;30162;9;0.1863289183;7107.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;25-anonymity;RGR;1.0;0.0;0.01;25;30162;9;0.1155899176;11794.0;0.0;0.0;0.0018393431;0.0018393431;47.0
Adult;Loss;25-anonymity;RGR;1.0;0.025;0.01;25;30162;9;0.1159586821;21524.0;14.0;4.641602E-4;0.0017628633;0.0017287362;46.0
Adult;Loss;25-anonymity;RGR;1.0;0.05;0.01;25;30162;9;0.1158922132;36706.0;0.0;0.0;0.0017646083;0.0017646083;41.0
Adult;Loss;25-anonymity;RGR;1.0;0.075;0.01;25;30162;9;0.1244932905;27904.0;0.0;0.0;0.0017737751;0.0017737751;27.0
Adult;Loss;25-anonymity;RGR;1.0;0.1;0.01;25;30162;9;0.1380017137;23237.0;0.0;0.0;0.0012513299;0.0012513299;20.0
Adult;Loss;25-anonymity;RGR;1.0;0.125;0.01;25;30162;9;0.1526153897;10703.0;0.0;0.0;0.0011820711;0.0011820711;11.0
Adult;Loss;25-anonymity;RGR;1.0;0.15;0.01;25;30162;9;0.1582263594;7923.0;0.0;0.0;0.0012928384;0.0012928384;7.0
Adult;Loss;25-anonymity;RGR;1.0;0.175;0.01;25;30162;9;0.1651064163;7451.0;0.0;0.0;0.0013639239;0.0013639239;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.2;0.01;25;30162;9;0.1783743028;7231.0;0.0;0.0;8.26002E-4;8.26002E-4;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.225;0.01;25;30162;9;0.1783743028;7574.0;0.0;0.0;8.26002E-4;8.26002E-4;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.25;0.01;25;30162;9;0.1783743028;7847.0;0.0;0.0;8.26002E-4;8.26002E-4;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.275;0.01;25;30162;9;0.1871877725;7727.0;0.0;0.0;9.790596E-4;9.790596E-4;4.0
Adult;Loss;25-anonymity;RGR;1.0;0.3;0.01;25;30162;9;0.1871877725;8030.0;0.0;0.0;9.790596E-4;9.790596E-4;4.0
Adult;Loss;25-anonymity;RGR;1.0;0.325;0.01;25;30162;9;0.1871877725;8303.0;0.0;0.0;9.790596E-4;9.790596E-4;4.0
Adult;Loss;25-anonymity;RGR;1.0;0.35;0.01;25;30162;9;0.1871877725;8460.0;0.0;0.0;9.790596E-4;9.790596E-4;4.0
Adult;Loss;25-anonymity;RGR;1.0;0.375;0.01;25;30162;9;0.2140811936;7675.0;51.0;0.0016908693;6.420128E-4;5.347062E-4;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.4;0.01;25;30162;9;0.2140811936;7807.0;51.0;0.0016908693;6.420128E-4;5.347062E-4;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.425;0.01;25;30162;9;0.2214054198;7840.0;0.0;0.0;0.0013575274;0.0013575274;4.0
Adult;Loss;25-anonymity;RGR;1.0;0.45;0.01;25;30162;9;0.2463714531;7320.0;35.0;0.0011604005;0.001184549;0.0011059219;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.475;0.01;25;30162;9;0.2463714531;7386.0;35.0;0.0011604005;0.001184549;0.0011059219;5.0
Adult;Loss;25-anonymity;RGR;1.0;0.5;0.01;25;30162;9;0.2463714531;7239.0;35.0;0.0011604005;0.001184549;0.0011059219;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.0;0.01;50;30162;9;0.1480066769;16604.0;0.0;0.0;0.00245932;0.00245932;53.0
Adult;Loss;50-anonymity;RGR;1.0;0.025;0.01;50;30162;9;0.14817591;25467.0;0.0;0.0;0.0025240424;0.0025240424;49.0
Adult;Loss;50-anonymity;RGR;1.0;0.05;0.01;50;30162;9;0.1486697153;40055.0;126.0;0.0041774418;0.0023978049;0.0021006517;47.0
Adult;Loss;50-anonymity;RGR;1.0;0.075;0.01;50;30162;9;0.1518213359;40372.0;0.0;0.0;0.002149932;0.002149932;36.0
Adult;Loss;50-anonymity;RGR;1.0;0.1;0.01;50;30162;9;0.161808658;32561.0;92.0;0.0030501956;0.0017196056;0.0015022212;28.0
Adult;Loss;50-anonymity;RGR;1.0;0.125;0.01;50;30162;9;0.176478346;14118.0;0.0;0.0;0.001463897;0.001463897;14.0
Adult;Loss;50-anonymity;RGR;1.0;0.15;0.01;50;30162;9;0.1846244201;9298.0;0.0;0.0;0.0014399698;0.0014399698;7.0
