;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.1;5.0;30162.0;9.0;0.2739245195979827;1460.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.15;5.0;30162.0;9.0;0.2739245195979827;1491.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2;5.0;30162.0;9.0;0.2739245195979827;1458.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.25;5.0;30162.0;9.0;0.2739245195979827;1561.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3;5.0;30162.0;9.0;0.2739245195979827;1519.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.35;5.0;30162.0;9.0;0.2739245195979827;1492.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4;5.0;30162.0;9.0;0.2739245195979827;1524.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.45;5.0;30162.0;9.0;0.2739245195979827;1548.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;9.0;0.2739245195979827;1486.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.0;5.0;30162.0;9.0;0.21287477333271604;1504.4;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1568.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.1;5.0;30162.0;9.0;0.21287477333271604;1469.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.15;5.0;30162.0;9.0;0.2129335066995503;1573.2;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.2;5.0;30162.0;9.0;0.2129335066995503;1704.6;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.25;5.0;30162.0;9.0;0.2129335066995503;1813.0;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.3;5.0;30162.0;9.0;0.2129335066995503;1753.8;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.35;5.0;30162.0;9.0;0.2129335066995503;1813.4;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.4;5.0;30162.0;9.0;0.21340347468849327;1943.8;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.1;0.45;5.0;30162.0;9.0;0.21340347468849327;2127.4;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;9.0;0.21340347468849327;2130.8;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.2;0.0;5.0;30162.0;9.0;0.14355218423448368;1307.6;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1455.8;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.1;5.0;30162.0;9.0;0.14355218423448368;1710.4;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.15;5.0;30162.0;9.0;0.14643646672661811;1916.6;2.0;6.630860022544923E-5;0.011893132871523202;0.011877994642200131
Adult;Loss;5-anonymity;RGR;0.2;0.2;5.0;30162.0;9.0;0.14643646672661811;2185.2;2.0;6.630860022544923E-5;0.011893132871523205;0.01187799464220013
Adult;Loss;5-anonymity;RGR;0.2;0.25;5.0;30162.0;9.0;0.15434847934208776;2317.2;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.3;5.0;30162.0;9.0;0.15434847934208776;2692.2;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.35;5.0;30162.0;9.0;0.15434847934208776;3078.2;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.4;5.0;30162.0;9.0;0.18526264785830918;3227.0;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.2;0.45;5.0;30162.0;9.0;0.21123855066316785;3162.2;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.2;0.5;5.0;30162.0;9.0;0.21310775428150958;3212.4;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.3;0.0;5.0;30162.0;9.0;0.12311133116657018;1299.0;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1657.6;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.1;5.0;30162.0;9.0;0.12311133116657018;2256.8;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.15;5.0;30162.0;9.0;0.12331596226672717;2981.2;2.0;6.630860022544923E-5;0.01884602884038523;0.01883023771375184
Adult;Loss;5-anonymity;RGR;0.3;0.2;5.0;30162.0;9.0;0.13687843973203018;2953.6;2.0;6.630860022544923E-5;0.009659623211166651;0.009644177566497457
Adult;Loss;5-anonymity;RGR;0.3;0.25;5.0;30162.0;9.0;0.15421764189238168;3201.6;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.3;5.0;30162.0;9.0;0.15421764189238168;3728.2;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.35;5.0;30162.0;9.0;0.15421764189238168;4139.6;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.4;5.0;30162.0;9.0;0.18526264785830918;4251.6;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.3;0.45;5.0;30162.0;9.0;0.21123855066316785;4207.0;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.3;0.5;5.0;30162.0;9.0;0.21310775428150958;4298.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
