;;;;;Utility;Variance;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Adult;Discernibility;5-anonymity;RGR;0.5;2.995291951736791E-4;0.0;1329.4
Adult;Discernibility;5-anonymity;RGR;0.5;1.9619716904460083E-4;7.346839692639297E-40;1551.0
Adult;Discernibility;5-anonymity;RGR;0.5;3.19518622489306E-4;0.0;1743.0
Adult;Discernibility;5-anonymity;RGR;0.5;7.628830869636875E-4;0.0;1949.8
Adult;Discernibility;5-anonymity;RGR;0.5;9.992932715600848E-4;0.0;2143.6
Adult;Discernibility;5-anonymity;RGR;0.5;7.312537731377016E-4;0.0;2349.2
Adult;Discernibility;5-anonymity;RGR;0.5;8.958557081147055E-4;0.0;2535.2
Adult;Discernibility;5-anonymity;RGR;0.5;0.0010856535780115165;0.0;2690.8
Adult;Discernibility;5-anonymity;RGR;0.5;0.0012919834287680534;0.0;2862.8
Adult;Discernibility;5-anonymity;RGR;0.5;0.0015605769981010165;0.0;3008.4
Adult;Discernibility;5-anonymity;RGR;0.5;0.0018043967817793765;4.70197740328915E-38;3191.8
Adult;Discernibility;5-anonymity;RGR;0.5;0.0020151734913321354;0.0;3343.6
Adult;Discernibility;5-anonymity;RGR;0.5;0.0013226980858527643;0.0;3511.0
Adult;Discernibility;5-anonymity;RGR;0.5;0.0014705525679492612;0.0;3757.6
Adult;Discernibility;5-anonymity;RGR;0.5;0.0028979590624311955;0.0;3845.4
Adult;Discernibility;5-anonymity;RGR;0.5;0.0032285788913789075;0.0;4006.6
Adult;Discernibility;5-anonymity;RGR;0.5;0.0035743982925680465;1.88079096131566E-37;4139.4
Adult;Discernibility;5-anonymity;RGR;0.5;0.0022476568082845016;0.0;4306.2
Adult;Discernibility;5-anonymity;RGR;0.5;0.00427478020199363;0.0;4402.8
Adult;Discernibility;5-anonymity;RGR;0.5;0.004663401581025073;0.0;4598.8
Adult;Discernibility;5-anonymity;RGR;0.5;0.002984817373093922;0.0;4800.0
Adult;Discernibility;5-anonymity;RGR;0.5;0.003208364097919096;1.88079096131566E-37;4983.4
Adult;Discernibility;5-anonymity;RGR;0.5;0.003446628880980074;0.0;5221.6
Adult;Discernibility;5-anonymity;RGR;0.5;0.0037475080743247695;0.0;5391.6
Adult;Discernibility;5-anonymity;RGR;0.5;0.004027579926152505;0.0;5580.4
Adult;Discernibility;5-anonymity;RGR;0.5;0.004318599075852376;0.0;5663.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-1.1990600204591563E-4;1.1224368253688815E-14;173.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-1.1277519737451477E-4;4.164730622276104E-14;711.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-1.0585854550744124E-4;1.1092799150566988E-13;1470.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-9.84212428799497E-5;7.916383763528236E-14;2666.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-8.261966819678992E-5;3.0266800675723396E-10;4427.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-7.383324687591788E-5;4.459594114974436E-10;6731.4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-7.687492027947487E-5;1.1451887663937171E-13;9154.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-6.918037044349975E-5;2.8808954024163614E-13;11343.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-6.142425717301575E-5;3.470287857318408E-13;15152.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-3.593655554751835E-5;1.2104388890533429E-9;18791.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-4.637243717441065E-5;1.9731614085851553E-13;22727.4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-3.906925488638489E-5;1.9856299208857141E-13;27148.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-3.0231384123816152E-5;2.2830720055741327E-13;31999.4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-2.237720909693585E-5;4.4037555610899933E-13;37772.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-1.4816339861608611E-5;4.885371185721618E-13;44286.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;-6.430080865044352E-6;1.4275943821539356E-13;51575.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.5837193527411342E-6;2.9022821496316377E-13;59341.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.0358267725529303E-5;1.5435314360453593E-13;67364.4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.919350005519052E-5;5.336998955397133E-13;77601.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;2.734273982889556E-5;1.1536595426008913E-12;88192.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;3.6347711342274136E-5;1.5007656764239154E-13;97624.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;4.6045271493877696E-5;2.538672640330881E-13;112281.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.6073075497739655E-5;5.463552034805007E-13;124789.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;6.520689048476898E-5;1.4199098492937873E-13;140641.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;7.385391460036017E-5;5.614264790497475E-13;152900.6
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;8.442743447726162E-5;2.891070543812996E-13;168538.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;9.343020729655059E-5;1.7409121625600138E-14;184862.4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.0534976769510708E-4;1.3839437603692365E-12;197111.2
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.1435166103676022E-4;5.03372869203721E-13;215329.8
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.2611511415495488E-4;1.2862322372059726E-12;236334.6
