;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Discernibility;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;30162.0;9.0;4.2049144986024015E-4;105987.0;0.0;0.0;0.027371791323007245;0.027371791323007245
Cup;Discernibility;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;63441.0;8.0;3.01222175967809E-4;713050.0;0.0;0.0;0.010293676745554717;0.010293676745554717
Cup;Discernibility;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;63441.0;8.0;3.0615472115138383E-4;687764.0;0.0;0.0;0.010235854733412528;0.010235854733412528
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;30162.0;9.0;0.170642555109557;50588.0;34.0;0.0011272462038326371;0.03473153440425465;0.034518081062367575
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;30162.0;9.0;0.17291790103490998;49271.0;0.0;0.0;0.03517702002256847;0.03517702002256847
Cup;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;63441.0;8.0;0.1376097706831869;206521.0;0.0;0.0;0.01228110855471128;0.01228110855471128
Cup;Loss;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;63441.0;8.0;0.13753822887866413;243786.0;0.0;0.0;0.012329709536437137;0.012329709536437137
Adult;Discernibility;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;30162.0;9.0;0.0013214547243450938;52286.0;0.0;0.0;0.034960114837213015;0.034960114837213015
Adult;Discernibility;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;30162.0;9.0;0.0012712607369735438;52876.0;0.0;0.0;0.03522742298312344;0.03522742298312344
Cup;Discernibility;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;63441.0;8.0;7.524471953794565E-4;239280.0;0.0;0.0;0.012131392195448223;0.012131392195448223
Cup;Discernibility;25-anonymity;Tassa & Goldberger;0.0;0.5;25.0;63441.0;8.0;7.926534515005383E-4;215573.0;0.0;0.0;0.012217145888740271;0.012217145888740271
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;30162.0;9.0;0.23272563369462423;30752.0;57.0;0.0018897951064253034;0.04038070104058457;0.04010271347807001
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;30162.0;9.0;0.23259975406087502;31881.0;0.0;0.0;0.04094199687666533;0.04094199687666533
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;63441.0;8.0;0.17023211842081065;98869.0;0.0;0.0;0.014080467408915852;0.014080467408915852
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;63441.0;8.0;0.1694232377826094;119957.0;0.0;0.0;0.013800534841961157;0.013800534841961157
Adult;Discernibility;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;30162.0;9.0;0.004770097609111244;29021.0;64.0;0.0021218752072143755;0.04058347950560088;0.040268083922946035
Adult;Discernibility;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;30162.0;9.0;0.005113141159012259;28193.0;59.0;0.0019561037066507525;0.03996685959702724;0.03968242389082666
Cup;Discernibility;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;63441.0;8.0;0.00264986405038825;109203.0;75.0;0.0011822007849813213;0.013977698968888187;0.013755336796510175
Cup;Discernibility;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;63441.0;8.0;0.0031935660926169984;113341.0;92.0;0.001450166296243754;0.013942906612546307;0.013674808794667198
