;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;63441;8;0.0716835653;56813.0;0.0;0.0;1.829405E-4;1.829405E-4;27.0
Fars;Loss;5-anonymity;RGR;0.0;0.0;0.01;5;100937;8;0.6634710672;155.0;0.0;0.0;1.6498E-6;1.6498E-6;1.0
Fars;Loss;5-anonymity;RGR;0.001;0.0;0.01;5;100937;8;0.3486806414;2860.0;0.0;0.0;9.2497E-6;9.2497E-6;2.0
Fars;Loss;5-anonymity;RGR;0.01;0.0;0.01;5;100937;8;0.2211012707;4427.0;0.0;0.0;2.466856E-4;2.466856E-4;2.0
Fars;Loss;5-anonymity;RGR;0.025;0.0;0.01;5;100937;8;0.1635935062;4669.0;0.0;0.0;3.09821E-5;3.09821E-5;4.0
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;100937;8;0.1193167958;4582.0;0.0;0.0;1.163437E-4;1.163437E-4;6.0
Fars;Loss;5-anonymity;RGR;0.075;0.0;0.01;5;100937;8;0.1025996109;4722.0;0.0;0.0;8.48254E-5;8.48254E-5;7.0
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;100937;8;0.0947315274;5536.0;0.0;0.0;2.502438E-4;2.502438E-4;9.0
Fars;Loss;5-anonymity;RGR;0.125;0.0;0.01;5;100937;8;0.0924438083;7023.0;0.0;0.0;2.204103E-4;2.204103E-4;12.0
Fars;Loss;5-anonymity;RGR;0.15;0.0;0.01;5;100937;8;0.080282378;6665.0;0.0;0.0;2.225915E-4;2.225915E-4;12.0
Fars;Loss;5-anonymity;RGR;0.175;0.0;0.01;5;100937;8;0.080282378;6392.0;0.0;0.0;2.225915E-4;2.225915E-4;12.0
Fars;Loss;5-anonymity;RGR;0.2;0.0;0.01;5;100937;8;0.080282378;6593.0;0.0;0.0;2.225915E-4;2.225915E-4;12.0
Fars;Loss;5-anonymity;RGR;0.3;0.0;0.01;5;100937;8;0.0681532991;10621.0;0.0;0.0;2.46619E-4;2.46619E-4;18.0
Fars;Loss;5-anonymity;RGR;0.4;0.0;0.01;5;100937;8;0.0608193912;13420.0;0.0;0.0;3.046132E-4;3.046132E-4;23.0
Fars;Loss;5-anonymity;RGR;0.5;0.0;0.01;5;100937;8;0.042472195;12845.0;0.0;0.0;3.437369E-4;3.437369E-4;26.0
Fars;Loss;5-anonymity;RGR;0.6;0.0;0.01;5;100937;8;0.042472195;12905.0;0.0;0.0;3.437369E-4;3.437369E-4;26.0
Fars;Loss;5-anonymity;RGR;0.7;0.0;0.01;5;100937;8;0.0411538054;13080.0;0.0;0.0;3.522985E-4;3.522985E-4;27.0
Fars;Loss;5-anonymity;RGR;0.8;0.0;0.01;5;100937;8;0.0411538054;12902.0;0.0;0.0;3.522985E-4;3.522985E-4;27.0
Fars;Loss;5-anonymity;RGR;0.9;0.0;0.01;5;100937;8;0.0411538054;12693.0;0.0;0.0;3.522985E-4;3.522985E-4;27.0
Fars;Loss;5-anonymity;RGR;0.95;0.0;0.01;5;100937;8;0.0411538054;12651.0;0.0;0.0;3.522985E-4;3.522985E-4;27.0
Fars;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;100937;8;0.0411538054;12733.0;0.0;0.0;3.522985E-4;3.522985E-4;27.0
Atus;Loss;5-anonymity;RGR;0.0;0.0;0.01;5;539253;9;0.3891863162;893.0;0.0;0.0;0.0;0.0;1.0
Atus;Loss;5-anonymity;RGR;0.001;0.0;0.01;5;539253;9;0.2999758432;16123.0;0.0;0.0;1.38919E-5;1.38919E-5;2.0
Atus;Loss;5-anonymity;RGR;0.01;0.0;0.01;5;539253;9;0.1700194307;19794.0;0.0;0.0;8.73832E-5;8.73832E-5;2.0
Atus;Loss;5-anonymity;RGR;0.025;0.0;0.01;5;539253;9;0.0945107366;16537.0;0.0;0.0;8.97182E-4;8.97182E-4;4.0
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;539253;9;0.0521745053;17209.0;0.0;0.0;0.0013072355;0.0013072355;6.0
Atus;Loss;5-anonymity;RGR;0.075;0.0;0.01;5;539253;9;0.0382684224;18139.0;0.0;0.0;0.0013985383;0.0013985383;8.0
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;539253;9;0.0257249917;18234.0;0.0;0.0;0.0014952533;0.0014952533;10.0
Atus;Loss;5-anonymity;RGR;0.125;0.0;0.01;5;539253;9;0.0191234031;17872.0;0.0;0.0;0.0013041263;0.0013041263;12.0
Atus;Loss;5-anonymity;RGR;0.15;0.0;0.01;5;539253;9;0.0163669276;18565.0;0.0;0.0;0.0014399716;0.0014399716;14.0
Atus;Loss;5-anonymity;RGR;0.175;0.0;0.01;5;539253;9;0.0163669276;19236.0;0.0;0.0;0.0014399716;0.0014399716;14.0
Atus;Loss;5-anonymity;RGR;0.2;0.0;0.01;5;539253;9;0.0163669276;18516.0;0.0;0.0;0.0014399716;0.0014399716;14.0
Atus;Loss;5-anonymity;RGR;0.3;0.0;0.01;5;539253;9;0.0149781135;18160.0;0.0;0.0;0.0014707927;0.0014707927;15.0
Atus;Loss;5-anonymity;RGR;0.4;0.0;0.01;5;539253;9;0.0149781135;18393.0;0.0;0.0;0.0014707927;0.0014707927;15.0
