;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Ihis;Loss;50-anonymity;RGR;0.1;0.0;0.01;50;1193504;9;0.1376294732;138149.0;0.0;0.0;5.409602E-4;5.409602E-4;10.0
Adult;NMEntropy;5-anonymity;RGR;0.05;0.0;0.01;5;30162;9;0.4534014776;1005.0;0.0;0.0;0.0015207097;0.0015207097;6.0
Adult;NMEntropy;5-anonymity;RGR;0.1;0.0;0.01;5;30162;9;0.4118652086;1701.0;0.0;0.0;0.0023397282;0.0023397282;11.0
Adult;NMEntropy;10-anonymity;RGR;0.05;0.0;0.01;10;30162;9;0.5024619576;874.0;0.0;0.0;0.0011668021;0.0011668021;6.0
Adult;NMEntropy;10-anonymity;RGR;0.1;0.0;0.01;10;30162;9;0.4608662233;1599.0;0.0;0.0;0.0024774898;0.0024774898;10.0
Adult;NMEntropy;25-anonymity;RGR;0.05;0.0;0.01;25;30162;9;0.556870793;753.0;0.0;0.0;0.001931604;0.001931604;6.0
Adult;NMEntropy;25-anonymity;RGR;0.1;0.0;0.01;25;30162;9;0.5259796803;1695.0;0.0;0.0;0.0026463069;0.0026463069;10.0
Adult;NMEntropy;50-anonymity;RGR;0.05;0.0;0.01;50;30162;9;0.6129103972;720.0;0.0;0.0;0.0012064589;0.0012064589;4.0
Adult;NMEntropy;50-anonymity;RGR;0.1;0.0;0.01;50;30162;9;0.5687017543;1523.0;0.0;0.0;0.0024448239;0.0024448239;10.0
Cup;NMEntropy;5-anonymity;RGR;0.05;0.0;0.01;5;63441;8;0.6311648682;4284.0;0.0;0.0;3.137361E-4;3.137361E-4;6.0
Cup;NMEntropy;5-anonymity;RGR;0.1;0.0;0.01;5;63441;8;0.6228447002;8634.0;0.0;0.0;1.571461E-4;1.571461E-4;9.0
Cup;NMEntropy;10-anonymity;RGR;0.05;0.0;0.01;10;63441;8;0.6684878511;2080.0;0.0;0.0;1.324371E-4;1.324371E-4;6.0
Cup;NMEntropy;10-anonymity;RGR;0.1;0.0;0.01;10;63441;8;0.6497419458;6073.0;0.0;0.0;3.574563E-4;3.574563E-4;10.0
Cup;NMEntropy;25-anonymity;RGR;0.05;0.0;0.01;25;63441;8;0.6952266636;1221.0;0.0;0.0;2.408689E-4;2.408689E-4;5.0
Cup;NMEntropy;25-anonymity;RGR;0.1;0.0;0.01;25;63441;8;0.6756897268;3854.0;0.0;0.0;8.629068E-4;8.629068E-4;10.0
Cup;NMEntropy;50-anonymity;RGR;0.05;0.0;0.01;50;63441;8;0.7149990899;777.0;0.0;0.0;1.971921E-4;1.971921E-4;6.0
Cup;NMEntropy;50-anonymity;RGR;0.1;0.0;0.01;50;63441;8;0.6997657398;1994.0;0.0;0.0;7.139289E-4;7.139289E-4;9.0
Fars;NMEntropy;5-anonymity;RGR;0.05;0.0;0.01;5;100937;8;0.4078195694;4567.0;0.0;0.0;2.063947E-4;2.063947E-4;6.0
