;;;;;Time;Utility;Suppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Fars;Discernibility;5-anonymity;RGR;0.05;8827.0;0.0016400650241209036;1.9814339637595727E-5
Fars;Discernibility;5-anonymity;RGR;0.1;12211.0;0.0030468208028924595;0.0014266324539068925
Fars;Discernibility;5-anonymity;RGR;0.1;12258.0;0.0016400650241209036;1.9814339637595727E-5
Fars;Discernibility;5-anonymity;RGR;1.0;43429.0;0.0030468208028924595;0.0014266324539068925
Fars;Discernibility;5-anonymity;RGR;1.0;43687.0;0.0016400650241209036;1.9814339637595727E-5
Atus;Loss;5-anonymity;RGR;0.02;36373.0;0.12879290043080677;0.019866370701692896
Atus;Loss;5-anonymity;RGR;0.02;38507.0;0.11826151084643176;3.13396494780743E-4
Atus;Loss;5-anonymity;RGR;0.02;38871.0;0.11818793437135373;0.0
Atus;Loss;5-anonymity;RGR;0.05;25793.0;0.09569470283133096;0.04483424292493505
Atus;Loss;5-anonymity;RGR;0.05;32807.0;0.06988807168001318;0.0012035167166432083
Atus;Loss;5-anonymity;RGR;0.05;33226.0;0.06943578916450939;5.5632513866404085E-5
Atus;Loss;5-anonymity;RGR;0.05;33582.0;0.06942824100757909;0.0
Atus;Loss;5-anonymity;RGR;0.1;26148.0;0.09569470283133096;0.04483424292493505
Atus;Loss;5-anonymity;RGR;0.1;35056.0;0.06992154881912592;0.002345837668033372
Atus;Loss;5-anonymity;RGR;0.1;35609.0;0.06895314086907924;1.650431244703321E-4
Atus;Loss;5-anonymity;RGR;0.1;35973.0;0.06891522439289206;1.1126502773280816E-5
Atus;Loss;5-anonymity;RGR;0.1;36340.0;0.06891218811411318;0.0
Atus;Loss;5-anonymity;RGR;1.0;34816.0;0.09569470283133096;0.04483424292493505
Atus;Loss;5-anonymity;RGR;1.0;108482.0;0.06992154881912592;0.002345837668033372
Atus;Loss;5-anonymity;RGR;1.0;115803.0;0.06895314086907924;1.650431244703321E-4
Atus;Loss;5-anonymity;RGR;1.0;116767.0;0.06891522439289206;1.1126502773280816E-5
Atus;Loss;5-anonymity;RGR;1.0;117553.0;0.06891218811411318;0.0
Atus;Discernibility;5-anonymity;RGR;0.02;36009.0;0.004866854638577227;0.0012628580647673726
Atus;Discernibility;5-anonymity;RGR;0.02;36144.0;0.003610942649004307;1.1126502773280816E-5
Atus;Discernibility;5-anonymity;RGR;0.02;36388.0;0.003599778603270665;0.0
Atus;Discernibility;5-anonymity;RGR;0.05;48983.0;0.004866854638577227;0.0012628580647673726
Atus;Discernibility;5-anonymity;RGR;0.05;49244.0;0.003610942649004307;1.1126502773280816E-5
Atus;Discernibility;5-anonymity;RGR;0.05;49364.0;0.003599778603270665;0.0
Atus;Discernibility;5-anonymity;RGR;0.1;74326.0;0.004866854638577227;0.0012628580647673726
Atus;Discernibility;5-anonymity;RGR;0.1;74517.0;0.003610942649004307;1.1126502773280816E-5
Atus;Discernibility;5-anonymity;RGR;0.1;74635.0;0.003599778603270665;0.0
Atus;Discernibility;5-anonymity;RGR;1.0;91892.0;0.004866854638577227;0.0012628580647673726
Atus;Discernibility;5-anonymity;RGR;1.0;95300.0;0.003610942649004307;1.1126502773280816E-5
Atus;Discernibility;5-anonymity;RGR;1.0;95505.0;0.0036016392603070817;1.8544171288801361E-6
Ihis;Loss;5-anonymity;RGR;0.02;147720.0;0.16329811046881532;0.018335925141432285
Ihis;Loss;5-anonymity;RGR;0.02;150953.0;0.15248318465881097;3.125251360699252E-4
Ihis;Loss;5-anonymity;RGR;0.02;151483.0;0.15237358512127838;3.3514759900260073E-6
Ihis;Loss;5-anonymity;RGR;0.05;136825.0;0.14900863997900207;0.0469332318953267
Ihis;Loss;5-anonymity;RGR;0.05;150025.0;0.1195481716551636;0.0014872174705740408
Ihis;Loss;5-anonymity;RGR;0.05;150701.0;0.11891137377837138;9.21655897257152E-6
Ihis;Loss;5-anonymity;RGR;0.05;151644.0;0.11891057302031041;0.0
Ihis;Loss;5-anonymity;RGR;0.1;165050.0;0.14358687551961796;0.07093315145990294
Ihis;Loss;5-anonymity;RGR;0.1;189040.0;0.09701899608601865;0.0025772850363299997
Ihis;Loss;5-anonymity;RGR;0.1;189956.0;0.09589939640268243;8.043542376062418E-5
Ihis;Loss;5-anonymity;RGR;0.1;190498.0;0.09587741509744764;5.027213985039011E-6
Ihis;Loss;5-anonymity;RGR;0.1;191061.0;0.09587556188195728;0.0
Ihis;Loss;5-anonymity;RGR;1.0;510695.0;0.14358687551961796;0.07093315145990294
Ihis;Loss;5-anonymity;RGR;1.0;799329.0;0.09701899608601865;0.0025772850363299997
Ihis;Loss;5-anonymity;RGR;1.0;813260.0;0.09589939640268243;8.043542376062418E-5
Ihis;Loss;5-anonymity;RGR;1.0;814580.0;0.09587741509744764;5.027213985039011E-6
Ihis;Loss;5-anonymity;RGR;1.0;815411.0;0.09587556188195728;0.0
Ihis;Discernibility;5-anonymity;RGR;0.02;129654.0;1.034212609337616E-4;3.519049789527308E-5
Ihis;Discernibility;5-anonymity;RGR;0.02;129819.0;6.823093175566022E-5;0.0
Ihis;Discernibility;5-anonymity;RGR;0.05;178702.0;1.034212609337616E-4;3.519049789527308E-5
Ihis;Discernibility;5-anonymity;RGR;0.05;178909.0;6.823093175566022E-5;0.0
Ihis;Discernibility;5-anonymity;RGR;0.1;202627.0;1.034212609337616E-4;3.519049789527308E-5
Ihis;Discernibility;5-anonymity;RGR;0.1;202784.0;6.823093175566022E-5;0.0
Ihis;Discernibility;5-anonymity;RGR;1.0;710462.0;1.034212609337616E-4;3.519049789527308E-5
Ihis;Discernibility;5-anonymity;RGR;1.0;711913.0;6.823093175566022E-5;0.0
