Not a fatal(N/A);0-4;*
White;0-4;*
Black;0-4;*
American Indian;0-4;*
Chinese;0-4;*
Japanese;5-9;*
Hawaiian;5-9;*
Filipino;5-9;*
#NV;5-9;*
Asian Indian;18-19;*
Other Indian;18-19;*
Korean;28-58;*
Samoan;28-58;*
Vietnamese;28-58;*
Guamanian;28-58;*
Other Asian;68-99;*
Asian/Pacific Is;68-99;*
Multiple races;68-99;*
All other races;68-99;*
Unknown;68-99;*
